date,ticker,ret
2011-06-17,GR,-0.3170246075899714
2011-07-19,EK,-0.35819325966257454
2011-07-19,EKDKQ,-0.35819325966257454
2011-08-09,OSGIQ,-0.3148709167354824
2011-12-08,OSGIQ,-0.3020378229738897
2011-12-28,GR,-0.3354729872973047
2012-01-04,EK,-0.3395835193077026
2012-01-04,EKDKQ,-0.4030850962255731
2012-01-31,RSH,-0.4363646829611808
2012-06-04,RSH,-0.3016986477148851
2012-06-14,CECO_old,-0.30363860265529496
2012-07-25,NIHDQ,-0.32295480687052247
2012-07-25,RSH,-0.32430893213967926
2012-07-26,ESI1,-0.35319021508802184
2012-07-30,CECO_old,-0.31240659711686725
2012-08-02,ARO,-0.3993930132496042
2012-08-02,AROPQ,-0.3993930132496042
2012-08-24,WBSN,-0.3019149179435997
2012-09-26,WBMD,-0.3100069155435461
2012-10-05,IQNT,-0.37117584607430254
2012-10-26,ESI1,-0.33322990765307814
2012-11-13,GTATQ,-0.33522730094916786
2012-11-13,NIHDQ,-0.35197649402226794
2012-11-13,CECO_old,-0.31813554596852067
2012-12-04,UEPS,-0.5051695643200262
2013-02-28,NIHDQ,-0.3295214043082223
2013-03-26,CECO_old,-0.31397663592946934
2013-04-05,ESI1,-0.30193772771327876
2013-06-17,ANRZ,-0.3137773645975569
2013-08-23,ARO,-0.3525498594405265
2013-08-23,AROPQ,-0.3525498594405265
2013-09-18,TWGP,-0.36377531622120973
2013-09-30,PGEM,-0.308194825337184
2013-10-08,TWGP,-0.37285716193062923
2013-11-13,NIHDQ,-0.3212064196418992
2014-01-10,RSH,-0.3389284367152481
2014-01-27,COCO_old,-0.3083253153446466
2014-02-05,ARO,-0.31914889839451965
2014-02-05,AROPQ,-0.31914889839451965
2014-02-12,INTX,-0.3011004396220457
2014-02-20,PGEM,-0.30714429205885196
2014-02-28,NIHDQ,-0.5889645044169768
2014-04-10,ONE2,-0.3472360106212937
2014-04-17,RSH,-0.33530650545604224
2014-05-01,NIHDQ,-0.3252101389198877
2014-05-06,TWGP,-0.34023670308592635
2014-05-07,COCO_old,-0.35673264846409536
2014-05-23,ANRZ,-0.3006047201614913
2014-05-23,ANR,-0.3006047201614913
2014-05-23,ARO,-0.32879938129748854
2014-05-23,AROPQ,-0.3296045462536352
2014-05-28,WLTGQ,-0.3428306605871153
2014-05-28,WLT,-0.34182674280618564
2014-08-04,HGG,-0.3049982144238049
2014-08-04,HGGGQ,-0.3049982144238049
2014-08-20,RMGN,-0.3101341063711279
2014-08-26,PHMD,-0.30204081632653057
2014-08-26,GADS,-0.30204081632653057
2014-09-09,AOBC,-0.3055714792072073
2014-09-09,SWHC,-0.3055725353517388
2014-09-16,WLTGQ,-0.3192660242226285
2014-09-16,WLT,-0.31817764041475116
2014-09-24,ANRZ,-0.3155103301692572
2014-09-24,ANR,-0.3155103301692572
2014-09-25,ONE2,-0.369741338673363
2014-10-09,EXXIQ,-0.31359120894403036
2014-10-10,ANRZ,-0.3265459251061851
2014-10-10,WLTGQ,-0.35042733475222965
2014-10-10,WLT,-0.35041819118889217
2014-10-10,ANR,-0.3265459251061851
2014-10-27,PHMD,-0.3096774316603138
2014-10-27,GADS,-0.3096774316603138
2014-11-13,CALL,-0.31173365471461745
2014-12-08,ARO,-0.3705663541663421
2014-12-08,AROPQ,-0.3705663541663421
2015-01-07,REN,-0.3257575757575758
2015-01-13,ANRZ,-0.3138278265553125
2015-01-13,ANR,-0.3138278265553125
2015-01-14,ACI_old,-0.3033707699620981
2015-01-15,ZVO,-0.32303561509141854
2015-01-29,PYX,-0.3392200562413824
2015-02-11,GNKWF,-0.3157895140443877
2015-03-27,JMI,-0.300010117754663
2015-05-12,ESI1,-0.47483913256823107
2015-05-15,SDOC,-0.3430309206500711
2015-05-18,HGG,-0.3064818855901259
2015-05-18,HGGGQ,-0.3064818855901259
2015-05-20,ACI_old,-0.3108447728026321
2015-06-15,RMGN,-0.3174603009410154
2015-06-30,ARO,-0.3064943172397818
2015-06-30,AROPQ,-0.3064943172397818
2015-07-02,EXXIQ,-0.3021176319480112
2015-07-08,BTU_old,-0.32045436685171613
2015-07-17,SDOC,-0.30387859268055983
2015-07-22,ROVI,-0.3037617815823179
2015-07-23,MEP,-0.319410447488955
2015-08-04,BTH,-0.31811023799431026
2015-08-10,AAMC,-0.38432419363641246
2015-08-24,REN,-0.37419016839345354
2015-08-24,CKP,-0.3117243767280018
2015-08-24,GPX,-0.3195498528904084
2015-09-11,ATU,-0.30180668275341715
2015-09-18,BBOX,-0.3084545136680077
2015-11-06,BBRG,-0.3223001871607206
2015-11-16,AAMC,-0.34947688103636554
2015-11-30,C-WS-A,-0.3128360052112673
2015-12-08,OUTR,-0.3337600177778456
2015-12-09,BBOX,-0.3128017817698109
2015-12-29,SDOC,-0.3015012831509415
2016-01-04,RMGN,-0.75
2016-01-05,NIHD,-0.3136520020620942
2016-01-06,CKH,-0.30152244809990014
2016-01-06,DNR,-0.30747021108508443
2016-01-06,HGG,-0.48254619298882906
2016-01-06,HGGGQ,-0.48254619298882906
2016-01-07,JOY,-0.3411032910939912
2016-01-08,SDOC,-0.6391124227959013
2016-01-13,ATW,-0.31326716777572206
2016-01-14,FBRC,-0.30519451126679265
