year,n_eligible,n_names,window_return,window_max_drawdown
2010,199,19,0.09835824878427957,-0.015088433718647909
2011,988,87,0.0280258620823699,-0.025347853314673433
2012,1029,89,0.03735383143138149,-0.03696288778266035
2013,1050,87,0.11713856837239933,-0.015292764553975671
2014,1098,89,-0.016841186276759346,-0.12076020961817892
2015,1052,85,-0.11661581953280609,-0.14852335290563368
2016,952,80,0.009117083388286096,-0.032437614830989454
2017,901,75,0.04143238749143596,-0.0303083517158349
2018,896,71,0.0745813559628179,-0.07007013873453274
2019,794,62,0.028729405405143238,-0.04435721966564154
2020,770,59,0.11991757892404409,-0.022686786709118067
2021,829,60,-0.12609862201280686,-0.13630625717560813
2022,549,45,0.05367895898706698,-0.0682167487341742
2023,336,28,-0.018018274228644215,-0.05254647111795642
2024,210,17,0.04457820578368943,-0.10406957193585425
