year,n_eligible,n_names,window_return,window_max_drawdown
2010,199,19,0.11257791309142218,-0.014089719032004516
2011,988,87,0.029308229400031083,-0.04489071767797783
2012,1029,89,0.11293048067426481,-0.02453500677071765
2013,1050,87,0.12889564581289115,-0.019622021023183694
2014,1098,89,-0.0005363534441710227,-0.13322143662179378
2015,1052,85,-0.16245700872858615,-0.1933911890724906
2016,952,80,0.034429930840639056,-0.037870803410518884
2017,901,75,0.09899588206388166,-0.03401857855977611
2018,896,71,0.12623442551635988,-0.09795888599397817
2019,794,62,0.07433597131824943,-0.05469080152192989
2020,770,59,0.23010337543053594,-0.037277813085445664
2021,829,60,-0.18358168569058564,-0.19402040837756832
2022,549,45,0.11671581158537303,-0.16809723372552632
2023,336,28,-0.0074154805211682495,-0.07785785924771628
2024,210,17,0.105019271664204,-0.10575893528475568
