date,ret
2010-12-15,0.0
2010-12-16,0.011287478490327407
2010-12-17,0.018847804177558602
2010-12-20,0.01458532697867776
2010-12-21,0.014511469171081037
2010-12-22,0.007510797781775436
2010-12-23,-0.001026323127228168
2010-12-27,-0.00241712863579846
2010-12-28,-0.008478665473998004
2010-12-29,0.005664275328977952
2010-12-30,0.009008909193926273
2010-12-31,-0.008921198106679018
2011-01-03,0.029126625248037996
2011-01-04,-0.007478944770353713
2011-01-05,0.023967303842155285
2011-01-06,0.0019298046806970337
2011-01-07,-0.01408971903200451
2011-01-10,0.0011864323233889973
2011-01-11,0.006727811413283602
2011-01-12,0.005633875954279333
2011-01-13,-0.005210166928710347
2011-01-14,0.01360983458566345
2011-01-18,-0.007680453165536227
2011-12-15,0.0
2011-12-16,0.0013870075939248494
2011-12-19,-0.038942424241808826
2011-12-20,0.029853029774632
2011-12-21,-0.0020004243272304656
2011-12-22,0.022099735289828892
2011-12-23,0.004092925502968248
2011-12-27,-0.008825703371494353
2011-12-28,-0.0187300851513742
2011-12-29,0.01851454635587224
2011-12-30,-0.0006564301520015636
2012-01-03,0.027675078355214655
2012-01-04,-0.014789593855683125
2012-01-05,0.005117863137054535
2012-01-06,-0.005886796780386283
2012-01-09,0.013523300476919964
2012-01-10,0.0033223352132198958
2012-01-11,0.02395414632425541
2012-01-12,0.002406373525493777
2012-01-13,-0.019743584128937952
2012-01-17,-0.012900018948110437
2012-12-14,0.0
2012-12-17,0.006475676167307043
2012-12-18,0.021506965992898364
2012-12-19,-0.0006171684134831379
2012-12-20,0.0035021431224733224
2012-12-21,-0.00939204166752694
2012-12-24,-0.0062885519501085785
2012-12-26,-0.005948595617851216
2012-12-27,-0.008157830424906143
2012-12-28,-0.007706092232678596
2012-12-31,0.026482018170179034
2013-01-02,0.045080310787257494
2013-01-03,0.004470628446639591
2013-01-04,0.014435683567265212
2013-01-07,-0.004926175056285564
2013-01-08,-0.00961204108035929
2013-01-09,-0.0023444291333288847
2013-01-10,-0.00018833090868997093
2013-01-11,0.016993997519386683
2013-01-14,-0.0024579216283728833
2013-01-15,-0.017081608131444104
2013-12-13,0.0
2013-12-16,0.060390422377855524
2013-12-17,-0.0020647962714154255
2013-12-18,0.004889669446971778
2013-12-19,0.006551243888057279
2013-12-20,0.015389358438198553
2013-12-23,0.013195279046696706
2013-12-24,0.00557810448297702
2013-12-26,0.002712904542530925
2013-12-27,0.007152399766968021
2013-12-30,-0.0021631064569167524
2013-12-31,0.006636684065081333
2014-01-02,0.005853220830508654
2014-01-03,0.005272658224868554
2014-01-06,-0.009096985382753275
2014-01-07,-0.004071013975892157
2014-01-08,0.0006303154054525528
2014-01-09,-0.006417840975563638
2014-01-10,0.005099374911365473
2014-01-13,-0.003777351191795897
2014-01-14,0.004272915887069573
2014-01-15,0.008602741411478432
2014-12-15,0.0
2014-12-16,0.017967380273381517
2014-12-17,0.05455042727487247
2014-12-18,0.01650229017530158
2014-12-19,0.04729419820704561
2014-12-22,-0.01915424981491276
2014-12-23,-0.0003231900654414588
2014-12-24,-0.0021963363695478577
2014-12-26,0.001690762907814003
2014-12-29,0.007261394292348733
2014-12-30,-0.00804003212668547
2014-12-31,0.003082052259639756
2015-01-02,0.01701686736264474
2015-01-05,-0.04211861050843102
2015-01-06,-0.03191395682455711
2015-01-07,-0.008586948002624828
2015-01-08,0.024136043342016578
2015-01-09,-0.010088638693421581
2015-01-12,-0.016475417382556534
2015-01-13,-0.022464581603520606
2015-01-14,0.002009904550078101
2015-01-15,-0.03949781496654392
2015-12-15,0.0
2015-12-16,0.01015656444822488
2015-12-17,-0.01900237682783168
2015-12-18,0.0012881485868094789
2015-12-21,0.005924149156241176
2015-12-22,0.006439721649412755
2015-12-23,0.0512439616238034
2015-12-24,0.0025005402776647756
2015-12-28,-0.028573803871072556
2015-12-29,0.007558926955209211
2015-12-30,-0.01733739712857374
2015-12-31,0.018766744318743145
2016-01-04,0.0011662746072549357
2016-01-05,-0.02117172783053023
2016-01-06,-0.02772303364563866
2016-01-07,-0.03404874731884333
2016-01-08,-0.018381963950850677
2016-01-11,-0.03269071568338733
2016-01-12,-0.01825880541592606
2016-01-13,-0.03356292628243507
2016-01-14,0.02712590275644966
2016-01-15,-0.043597642135718484
2016-12-15,0.0
2016-12-16,0.010231105651743455
2016-12-19,0.005330074678771668
2016-12-20,0.009547108924800263
2016-12-21,-0.013187451477971845
2016-12-22,-0.011956460485715636
