date,ticker,ret,gross_ret,type
2011-02-07,ACO,0.018738557774701237,0.018738557774701237,target
2011-02-07,NPBC,0.004692045335859429,0.007891810376765784,target
2011-02-07,SASR,-0.008277281326622532,-0.008277281326622643,target
2011-02-17,CHFC,0.0073855057840748195,0.0073855057840748195,target
2011-02-17,NPBC,-0.012253009740239573,-0.005175951786370647,target
2011-02-18,EDE,0.009982647547432721,0.009982647547432721,target
2011-02-24,JASO,0.09898825098083464,0.11899266837351052,target
2011-03-01,LSI,-0.005984602524271687,0.0018339930018240747,target
2011-03-02,JBT,-0.00030673527144053914,0.017204284315123886,target
2011-03-04,UMPQ,-0.001890863497629569,-0.001890863497629569,target
2011-03-07,SASR,-0.09063554646461636,-0.09063554646461636,stop
2011-03-09,SJI,0.07935360632594346,0.08097242355143197,target
2011-03-09,CHFC,-0.0003536073314175381,0.002777736625842353,target
2011-03-10,EDE,-0.0072541693839377475,-0.0008329898221735021,target
2011-03-11,PCH,-0.017607438060803893,-0.013541678049497685,target
2011-03-14,SASR,-0.07600648573715929,-0.07600648573715918,stop
2011-03-15,VWTR,-0.06441820816140675,-0.06441820816140664,stop
2011-03-15,PPS,-0.01640217317150916,-0.014166607154990518,target
2011-03-17,BRKL_old,-0.043780796714514514,-0.03631300065257681,target
2011-03-17,JASO,0.045116920090391144,0.053191475484917206,target
2011-03-17,NPBC,-0.031473771562187225,-0.024901710926695242,target
2011-03-24,LSI,-0.0036067920918904095,-0.0002616676726712175,target
2011-03-29,UMPQ,0.020961635001886636,0.024096406839762885,target
2011-03-29,STEL_old,0.005614283861866909,0.01981730012316274,target
2011-03-30,UNS,0.00976013575471213,0.00976013575471213,target
2011-04-01,SASR,0.08882941198363659,0.10635676307819364,target
2011-04-05,NPBC,0.06478889447877223,0.06742639173474685,target
2011-04-06,CHFC,0.03227430116544494,0.03227430116544494,target
2011-04-07,PCH,0.007358053142561882,0.0079601912624645,target
2011-04-07,STEL_old,-0.007089646525508475,0.006458891428759106,target
2011-04-07,VWTR,0.0008695251079384736,0.00469009674570553,target
2011-04-08,UNS,0.012136264750340464,0.012136264750340464,target
2011-04-11,ACO,-0.0636650042435094,-0.0636650042435093,stop
2011-04-19,STEL_old,-0.06372194697336164,-0.06372194697336164,stop
2011-04-20,IRC,0.007179262612160731,0.007179262612160731,target
2011-04-20,BRKL_old,-0.14989291899255586,-0.14989291899255586,stop
2011-04-21,FFG,0.04641490149935312,0.04641490149935312,target
2011-04-21,UMPQ,0.033171294360658576,0.033171294360658576,target
2011-04-25,KDN,-0.04375108746785439,-0.04086851153149318,target
2011-04-25,CFNL,-0.009941003075586874,-0.0046083123481043264,target
2011-04-27,SJI,0.017269276521632904,0.017269276521632904,target
2011-04-28,SASR,0.03765254042591848,0.03852900099798995,target
2011-04-29,LBAI,0.0528144976199747,0.0528144976199747,target
2011-04-29,PCH,-0.015352370197448728,-0.0102352689375379,target
2011-05-04,DEL,-0.08483504368825945,-0.08483504368825945,stop
2011-05-04,LBAI,-0.026858166339301492,-0.022153345742260244,target
2011-05-05,KDN,-0.018017374640745043,-0.013845318604960744,target
2011-05-06,STEL_old,-0.0682853225618788,-0.0682853225618788,stop
2011-05-09,FFG,-0.007886651714907655,-0.004212279243925865,target
2011-05-09,SJI,-0.0016327002344241892,0.006444693992446071,target
2011-05-10,CFNL,0.016664704328405833,0.03104420697585386,target
2011-05-11,ACO,-0.009203327311224307,-0.009203327311224307,target
2011-05-11,BRKL_old,-0.07803999642618975,-0.07803999642618964,stop
2011-05-11,PCH,-0.025893607533549745,-0.016215716095481225,target
2011-05-12,SJI,-0.010854201377581862,-0.0012269885321706253,target
2011-05-13,STEL_old,-0.06995713585747487,-0.05083607552505898,target
2011-05-16,CHFC,-0.04162274346195727,-0.04162274346195727,target
2011-05-16,DEL,-0.09386049562860954,-0.09386049562860965,stop
2011-05-17,BGG,-0.06008969499698158,-0.06008969499698158,stop
2011-05-23,LSI,-0.06082032361439793,-0.06082032361439793,stop
2011-05-23,STEL_old,-0.0694072184858947,-0.0694072184858947,stop
2011-05-24,FFIC,-0.0703124841251832,-0.07031248412518332,stop
2011-05-26,EDE,-0.08465609193731938,-0.08465609193731938,stop
2011-05-26,NPBC,-0.0514747217615531,-0.050518118793357325,target
2011-05-26,COL,-0.021998652928215123,-0.01910829662370017,target
2011-05-27,SUSQ,-0.048953101529115584,-0.045555538601345535,target
2011-06-01,USTR,-0.49899244917395147,-0.49899244917395147,stop
2011-06-02,PCH,-0.08395674055101399,-0.08395674055101399,stop
2011-06-03,BGG,-0.07366396980860945,-0.07366396980860945,stop
2011-06-08,FMBI,-0.07154020494382829,-0.07154020494382829,stop
2011-06-10,CHFC,-0.06401660427165323,-0.06401660427165334,stop
2011-06-16,FMER,-0.021485654725189485,-0.021485654725189596,target
2011-06-21,SUSQ,-0.0677966590919219,-0.067796659091922,stop
2011-06-22,FMER,-0.005276020819014349,-0.001365791536636074,target
2011-06-29,UNS,-0.012780596777200781,-0.011161359865026865,target
2011-06-29,UMPQ,-0.01020795526696705,-0.01020795526696705,target
2011-07-07,SJI,0.025729852050938806,0.025729852050938806,target
2011-07-18,SJI,-0.025574966488918882,-0.025574966488918882,target
2011-07-22,CHFC,0.03277240255236302,0.03747965995527203,target
2011-07-22,SASR,0.008065709649526243,0.013513513513513598,target
2011-07-25,NPBC,0.023483716510710684,0.029525095896911102,target
2011-08-02,SJI,-0.07498643650453973,-0.0701519025923315,stop
2011-08-04,KDN,-0.07566337179622495,-0.07566337179622495,stop
2011-08-04,SUSQ,-0.10336339153246032,-0.09350646857488232,stop
2011-08-04,UMPQ,-0.08312829802445809,-0.07642735238839593,stop
2011-08-08,LSI,-0.13980922875228474,-0.13980922875228474,stop
2011-08-08,SASR,-0.12260968621970691,-0.12260968621970703,stop
2011-08-08,CFNL,-0.11824257355401846,-0.11824257355401846,stop
2011-08-08,SJI,-0.13361448449061442,-0.13361448449061442,stop
2011-08-08,CHFC,-0.09529082471222283,-0.09529082471222283,stop
2011-08-25,SJI,0.025006240321175266,0.035439628607089046,target
2011-09-01,JRN,-0.10201650772778736,-0.10201650772778725,stop
2011-09-01,LBAI,-0.08437991471608519,-0.08437991471608519,stop
2011-09-01,GRT,-0.025855141020491024,-0.013580166965927787,target
2011-09-02,VWTR,-0.09249814096464781,-0.09249814096464781,stop
2011-09-02,ATU,-0.081749408869493,-0.08174940886949311,stop
2011-09-02,RSO,-0.056896763258968086,-0.056896763258968086,target
2011-09-02,FMBI,-0.11180987767722539,-0.11180987767722539,stop
2011-09-02,IRC,-0.06951260508710999,-0.06951260508710999,stop
2011-09-02,LBAI,-0.07079645430875126,-0.07079645430875126,stop
2011-09-06,JRN,-0.09117652132436749,-0.09117652132436749,stop
2011-09-06,PL_old,-0.08004381046015518,-0.08004381046015518,stop
2011-09-06,IN,-0.05523863975427823,-0.05523863975427823,target
2011-09-07,PLFE,0.04329349057494136,0.04329349057494136,target
2011-09-07,PL_old,0.059594753222856456,0.059594753222856456,target
2011-09-08,AEL,-0.05366483842384995,-0.03806583080189385,target
2011-09-09,CHFC,-0.07610015165387096,-0.07610015165387096,stop
2011-09-09,JRN,-0.08308604774427719,-0.08308604774427719,stop
2011-09-09,VWTR,-0.07343122692262993,-0.07343122692262993,stop
2011-09-12,ROLL,-0.026717528454282213,-0.017656114078823615,target
2011-09-12,KDN,-0.040582417507449065,-0.040582417507449065,target
2011-09-13,FMBI,0.021656121681069118,0.021656121681069118,target
2011-09-15,JRN,0.24595469630217393,0.24595469630217393,target
2011-09-16,ASBC,0.03630188871665818,0.043478193789121544,target
2011-09-16,GRT,0.04166254224438859,0.04685574975678941,target
2011-09-19,CHFC,0.05064939649134548,0.05064939649134548,target
2011-09-20,UMPQ,0.03767168424183853,0.045861389298728295,target
2011-09-20,AEL,-0.02833767251040542,-0.01646538135929898,target
2011-09-20,PCBK,-0.12927796342031805,-0.108288762127553,stop
2011-09-21,FMER,-0.07329844239020744,-0.07329844239020744,stop
2011-09-21,PLFE,-0.08905142951787759,-0.08140770645908724,stop
2011-09-21,MPW,-0.07345739443661337,-0.07345739443661337,stop
2011-09-21,VWTR,-0.09383778804999876,-0.09383778804999876,stop
2011-09-21,STEL_old,-0.107706662189622,-0.107706662189622,stop
2011-09-21,KDN,-0.06823221074786157,-0.06823221074786157,stop
2011-09-21,SUSQ,-0.08288729171122589,-0.08288729171122589,stop
2011-09-22,IRC,-0.06447365490353307,-0.06447365490353307,stop
2011-09-22,PL_old,-0.06898652128586047,-0.06898652128586047,stop
2011-09-22,JBT,-0.07998591288205226,-0.07998591288205226,stop
2011-09-28,UMPQ,-0.060622266707522465,-0.060622266707522465,stop
2011-09-29,PCH,0.029277210474721205,0.04070266910337628,target
2011-09-29,NAVG,0.017329368627897468,0.02033797127471093,target
2011-09-30,PKY1,-0.07712623062374924,-0.05772551523341385,target
2011-09-30,SUSQ,-0.0851464402013935,-0.07370048607692303,stop
2011-09-30,CFNL,-0.07000829289658994,-0.06006674167208337,stop
2011-10-03,VVI,-0.08766974647367065,-0.08766974647367065,stop
2011-10-03,KDN,-0.08317701209434814,-0.08317701209434814,stop
2011-10-03,PL_old,-0.10493119339336032,-0.10493119339336032,stop
2011-10-03,MPW,-0.10505312317224846,-0.10505312317224835,stop
2011-10-03,IN,-0.08244273986691952,-0.08244273986691952,stop
2011-10-03,VWTR,-0.10452635274004918,-0.10452635274004918,stop
2011-10-03,STEL_old,-0.06626527210207878,-0.06626527210207867,stop
2011-10-03,FPO,-0.06743382795193509,-0.06743382795193509,stop
2011-10-05,ALOG,0.025316452534658973,0.025316452534658973,target
2011-10-05,UMPQ,0.1555525569898497,0.15782993105204857,target
2011-10-06,BFIN,0.09781718836960551,0.1205979451531185,target
2011-10-06,ORIT,0.0787968666290133,0.0787968666290133,target
2011-10-06,RAVN,0.056901380110131905,0.056901380110131905,target
2011-10-06,SJI,0.024765362213392983,0.024765362213392983,target
2011-10-10,DNDN,-0.08602079918777339,-0.0860207991877735,stop
2011-10-11,STEL_old,0.19488816366310058,0.19488816366310058,target
2011-10-11,HTLF,0.2206577926653297,0.23341137183254124,target
2011-10-12,SGY,0.06179471148918725,0.06179471148918725,target
2011-10-13,LLEXQ,-0.0625000139698384,-0.0625000139698384,stop
2011-10-14,ELRC,0.0940914114396465,0.0940914114396465,target
2011-10-17,NAVG,-0.07113147740800596,-0.07113147740800596,stop
2011-10-18,VWTR,0.04100857018830739,0.04490269350987641,target
2011-10-19,UNS,0.024170238686478607,0.024170238686478607,target
2011-10-19,KDN,0.0030106514506831328,0.015026722737176978,target
2011-10-19,CRZO,0.20475742911829142,0.20475742911829165,target
2011-10-19,AXE,0.006693674975522201,0.013111364789144986,target
2011-10-19,GRT,0.07975158735071464,0.08225616268223845,target
2011-10-20,DNDN,0.06204130101522276,0.08453051161770686,target
2011-10-25,ENH,0.09010663429276033,0.09783784504254145,target
2011-10-26,PCBK,0.1621004020710557,0.1714351420467919,target
2011-10-26,IRC,0.025028424919032233,0.030266143628949083,target
2011-10-26,NAVG,0.06993318950714578,0.07594036076910138,target
2011-10-27,PCXCQ,0.2471910199921894,0.2471910199921894,target
2011-10-27,PPS,0.08892276318081471,0.08892276318081471,target
2011-10-28,CAS_old1,0.21438243623620057,0.2331840935421241,target
2011-10-28,PJC,0.18970188917446862,0.18970188917446862,target
2011-10-28,ATU,0.12398666984285245,0.12398666984285245,target
2011-11-01,SOA,0.05406754602536168,0.05406754602536168,target
2011-11-01,HTLF,-0.08582445358871083,-0.08582445358871083,stop
2011-11-01,BHLB,-0.060426012304712895,-0.060426012304712895,stop
2011-11-01,DBDQQ,-0.06562106829798453,-0.06562106829798453,stop
2011-11-01,ESND,-0.07584531037434927,-0.07584531037434927,stop
2011-11-01,PCBK,-0.12538210130005212,-0.12538210130005212,stop
2011-11-02,RLH,0.04740743283872262,0.04740743283872262,target
2011-11-03,JBT,0.08381350114972519,0.09030096622200356,target
2011-11-04,KDN,-0.015379798189752658,-0.002988455063986928,target
2011-11-07,OMI,-0.007161879880201227,-0.00291003871528428,target
2011-11-09,PCH,-0.021644382979978505,-0.0183457759759712,target
2011-11-09,OPI,-0.02957130831378796,-0.028232756922317193,target
2011-11-09,RSTI,-0.12015337781538116,-0.12015337781538116,stop
2011-11-10,ESL,0.06150796520388124,0.07041935937710497,target
2011-11-10,DGIT,-0.10870776024279505,-0.10870776024279505,stop
2011-11-10,UNS,0.003019601054844445,0.009716781501196703,target
2011-11-11,IBKC,0.038264841159265206,0.038264841159265206,target
2011-11-14,NPBC,0.08099780131775369,0.0810111714397217,target
2011-11-14,CSE,0.011513186272987364,0.011513186272987364,target
2011-11-14,KW,-0.06009404709331645,-0.06009404709331645,stop
2011-11-16,CHFC,0.01814604949981624,0.023354592913693795,target
2011-11-21,CFNL,-0.013269873086288464,-0.004350915373858011,target
2011-11-21,KW,0.03883234477006248,0.042857124691917825,target
2011-11-21,IDTI,-0.06908691509879905,-0.06908691509879905,stop
2011-11-22,GDPM,-0.08631503447232791,-0.07278909583045146,stop
2011-11-23,TAL1,-0.06433823348947876,-0.06433823348947876,stop
2011-11-23,LSI,-0.07317146240766148,-0.07317146240766148,stop
2011-11-23,KDN,-0.053505543641868325,-0.053505543641868325,target
2011-11-23,UBA,-0.07692484156210677,-0.07692484156210677,stop
2011-11-25,ALOG,-0.06594890481446103,-0.06594890481446103,stop
2011-11-25,DNDN,0.045012591647811684,0.0673174942228223,target
2011-11-25,BFIN,-0.0031808261367675117,0.0018349044462047104,target
2011-11-28,FPO,0.0411371537734011,0.0411371537734011,target
2011-11-30,UNS,0.046241165052914424,0.046241165052914424,target
2011-12-02,SOA,0.09917919429653188,0.09917919429653188,target
2011-12-05,JBT,0.11498572012721975,0.1206896551724137,target
2011-12-06,TWGP,0.004662395069722658,0.007408504595312948,target
2011-12-06,MIG_old,0.04441475263475603,0.05696850701556988,target
2011-12-06,SP,0.10047508312182907,0.10227972238028649,target
2011-12-07,TAL1,0.06286830751105632,0.06286830751105632,target
2011-12-08,MRH,-0.062322969135640394,-0.062322969135640394,stop
2011-12-08,ENH,0.03814366901718258,0.03814366901718258,target
