,portfolio_value
2010-10-01,0.9981776733702846
2010-10-04,0.9966858872544986
2010-10-05,0.9999100232417932
2010-10-06,1.008887907839065
2010-10-07,1.0050140909148952
2010-10-08,1.0047558787370003
2010-10-11,1.0062403136413396
2010-10-12,1.0032643095483362
2010-10-13,1.0075732021605919
2010-10-14,1.0048193239666838
2010-10-15,1.0001571113092118
2010-10-18,1.005537761020168
2010-10-19,1.0035073837390809
2010-10-20,1.0041422593108829
2010-10-21,1.0042183375787408
2010-10-22,1.0078599358705285
2010-10-25,1.0106197942356296
2010-10-26,1.0058318033920317
2010-10-27,1.0029918780403277
2010-10-28,1.0024990428081781
2010-10-29,1.0055348030866689
2010-11-01,1.0030954684207973
2010-11-02,1.012820108602225
2010-11-03,1.0084746025488749
2010-11-04,1.0188321379807634
2010-11-05,1.0195374203049128
2010-11-08,1.0210779386697904
2010-11-09,1.0113437444806122
2010-11-10,1.0116541427782564
2010-11-11,1.0106166234873664
2010-11-12,1.0042668915069577
2010-11-15,0.9947217893003462
2010-11-16,0.9961783792456966
2010-11-17,0.9908492486118392
2010-11-18,0.9961066504604663
2010-11-19,1.0026847191707016
2010-11-22,1.0058901032762066
2010-11-23,1.003444452257415
2010-11-24,0.9998108487071657
2010-11-26,1.005052820290555
2010-11-29,1.0036203943530861
2010-11-30,1.0030162789184616
2010-12-01,0.9995780401420689
2010-12-02,1.0072943201512725
2010-12-03,1.0076855624986292
2010-12-06,1.0128336616294797
2010-12-07,1.006669178068068
2010-12-08,1.0050112502305373
2010-12-09,1.0084407943686258
2010-12-10,1.0108308651340108
2010-12-13,1.013352072047682
2010-12-14,1.0096460268178127
2010-12-15,1.002625617305304
2010-12-16,1.0064823995526135
2010-12-17,1.011736901510548
2010-12-20,1.011666417431921
2010-12-21,1.016118617420088
2010-12-22,1.0165215585980425
2010-12-23,1.0166575679840713
2010-12-27,1.0195650923144746
2010-12-28,1.0142274046674933
2010-12-29,1.019588913534847
2010-12-30,1.018910399917501
2010-12-31,1.019374776267244
2011-01-03,1.0207193464798712
2011-01-04,1.0209101273513954
2011-01-05,1.0149621572647882
2011-01-06,1.0168710259543483
2011-01-07,1.0171887841459033
2011-01-10,1.0185280356025255
2011-01-11,1.017280387710926
2011-01-12,1.0175963374086368
2011-01-13,1.0241818563650642
2011-01-14,1.023802406985929
2011-01-18,1.0246790479021168
2011-01-19,1.0231640279620302
2011-01-20,1.0154105406135856
2011-01-21,1.016918674485842
2011-01-24,1.021160164816297
2011-01-25,1.0279642140957672
2011-01-26,1.0265089559639746
2011-01-27,1.0327067016558171
2011-01-28,1.0267924874937757
2011-01-31,1.0198033610949921
2011-02-01,1.0254006481627413
2011-02-02,1.0295702351510276
2011-02-03,1.0272504957015132
2011-02-04,1.0230202214721122
2011-02-07,1.027817411185285
2011-02-08,1.0288199379409826
2011-02-09,1.0317218559183865
2011-02-10,1.0278704467106483
2011-02-11,1.0357903491478895
2011-02-14,1.0370158824175582
2011-02-15,1.0380863429307057
2011-02-16,1.037877672559408
2011-02-17,1.0418998025209578
2011-02-18,1.0429147079737628
2011-02-22,1.041435287403019
2011-02-23,1.0308120846750097
2011-02-24,1.0303181148689993
2011-02-25,1.0398094100700628
2011-02-28,1.044530344630391
2011-03-01,1.041574818634236
2011-03-02,1.0324981607427632
2011-03-03,1.034258754298255
2011-03-04,1.0392685231510066
2011-03-07,1.0317132912521172
2011-03-08,1.0324623909916724
2011-03-09,1.0385692787738756
2011-03-10,1.0351275845309984
2011-03-11,1.027974257949888
2011-03-14,1.0272704860189552
2011-03-15,1.0259375376558793
2011-03-16,1.0218081688416856
2011-03-17,1.0159734563480556
2011-03-18,1.0251439373921962
2011-03-21,1.0307465555610391
2011-03-22,1.0356220103107727
2011-03-23,1.0336401489848237
2011-03-24,1.0339987700465019
2011-03-25,1.0372672386227189
2011-03-28,1.0385275973099808
2011-03-29,1.03749402192904
2011-03-30,1.0459750660402434
2011-03-31,1.049784868931047
2011-04-01,1.053191232200656
2011-04-04,1.0542604527315662
2011-04-05,1.0532259268033495
2011-04-06,1.0501809031248357
2011-04-07,1.0480888124966454
2011-04-08,1.0428444340940901
2011-04-11,1.0430333998227792
2011-04-12,1.0409207585876388
2011-04-13,1.0401753736191097
2011-04-14,1.041069343253226
2011-04-15,1.0485448213601465
2011-04-18,1.047620377142485
2011-04-19,1.046244910333268
2011-04-20,1.0498276535937174
2011-04-21,1.057969060956952
2011-04-25,1.0604748158099078
2011-04-26,1.0697075207268125
2011-04-27,1.069248415451392
2011-04-28,1.0744968499534844
2011-04-29,1.077450391021432
2011-05-02,1.075155945773249
2011-05-03,1.0734226349477987
2011-05-04,1.0707317239439833
2011-05-05,1.071518629076337
2011-05-06,1.0687417653678797
2011-05-09,1.072029458056099
2011-05-10,1.0747002042838962
2011-05-11,1.0728151613147527
2011-05-12,1.0704898720982485
2011-05-13,1.0688692995184936
2011-05-16,1.0657892135780425
2011-05-17,1.0655909724798116
2011-05-18,1.0640792613257162
2011-05-19,1.0676288990381273
2011-05-20,1.0665835366117655
2011-05-23,1.0614703494763944
2011-05-24,1.0579717044214552
2011-05-25,1.0572582894762164
2011-05-26,1.063688829144012
2011-05-27,1.0674990906889894
2011-05-31,1.0718034043018065
2011-06-01,1.0705926353218274
2011-06-02,1.0552613699310762
2011-06-03,1.055653808268264
2011-06-06,1.0472064791591842
2011-06-07,1.0475783127057556
2011-06-08,1.0507298882172624
2011-06-09,1.0492753997400983
2011-06-10,1.050068131560041
2011-06-13,1.045230296285597
2011-06-14,1.0456711816498139
2011-06-15,1.0520915097525916
2011-06-16,1.0511812340785005
2011-06-17,1.0489874889822235
2011-06-20,1.0536615720815738
2011-06-21,1.0565180719727802
2011-06-22,1.0580759935943866
2011-06-23,1.057379053756133
2011-06-24,1.0536351412787535
2011-06-27,1.0494204111076297
2011-06-28,1.0515172630693013
2011-06-29,1.0532729442414284
2011-06-30,1.0565702452033963
2011-07-01,1.0639503990461212
2011-07-05,1.0685889352199673
2011-07-06,1.0718883521113698
2011-07-07,1.0736589617615624
2011-07-08,1.0794086883693046
2011-07-11,1.0768511451988252
2011-07-12,1.0729943625759493
2011-07-13,1.0747605176081274
2011-07-14,1.0659790553471467
2011-07-15,1.065623499489245
2011-07-18,1.060157385485475
2011-07-19,1.0717525453963783
2011-07-20,1.0726774253337426
2011-07-21,1.0738837607523923
2011-07-22,1.0785950141692242
2011-07-25,1.0698755326780178
2011-07-26,1.067740065912672
2011-07-27,1.0586489899512426
2011-07-28,1.0532075408338302
2011-07-29,1.0557372679772237
2011-08-01,1.060147147699118
2011-08-02,1.0609215888890575
2011-08-03,1.0569268577043407
2011-08-04,1.0490782693733265
2011-08-05,1.0312679315303375
2011-08-08,1.0197196499592747
2011-08-09,1.0331248353739249
2011-08-10,1.0359222979975007
2011-08-11,1.0241142004846857
2011-08-12,1.0377190692192984
2011-08-15,1.042340816681906
2011-08-16,1.0483793467345164
2011-08-17,1.054954023501201
2011-08-18,1.0497920735127968
2011-08-19,1.0443337464107705
2011-08-22,1.0428218503632358
2011-08-23,1.0461755038759777
2011-08-24,1.041522439602495
2011-08-25,1.0415858969347664
2011-08-26,1.048438994125867
2011-08-29,1.0539776844333377
2011-08-30,1.0646247327165292
2011-08-31,1.0598598707873705
2011-09-01,1.0638125438778405
2011-09-02,1.0674040592547454
2011-09-06,1.0676540898824929
2011-09-07,1.0669701349557994
2011-09-08,1.0705734437353902
2011-09-09,1.0661941010477245
2011-09-12,1.0658985899704496
2011-09-13,1.0635632682882965
2011-09-14,1.0723324739554254
2011-09-15,1.07166958878793
2011-09-16,1.0785894018367173
2011-09-19,1.0838065973337594
2011-09-20,1.0831097818954205
2011-09-21,1.0866139550241793
2011-09-22,1.0923315973419372
2011-09-23,1.0818626978647823
2011-09-26,1.0822248996787354
2011-09-27,1.081604388257405
2011-09-28,1.075243719445819
2011-09-29,1.0794408035214391
2011-09-30,1.0874090121869375
2011-10-03,1.0735226644544484
2011-10-04,1.0745557752542232
2011-10-05,1.0819846962034827
2011-10-06,1.0893211802957552
2011-10-07,1.0849691189821338
2011-10-10,1.0893963875474326
2011-10-11,1.100109448630601
2011-10-12,1.0984047705721638
2011-10-13,1.103524785629741
2011-10-14,1.102893730750416
2011-10-17,1.1049151296221353
2011-10-18,1.1048384390434103
2011-10-19,1.10750618181525
2011-10-20,1.1022483863400667
2011-10-21,1.1082517745999114
2011-10-24,1.124787120131698
2011-10-25,1.1306089431208421
2011-10-26,1.1221847419479483
2011-10-27,1.136404984285559
2011-10-28,1.1507387059067682
2011-10-31,1.1573329736547224
2011-11-01,1.1469990994621027
2011-11-02,1.1380487140030577
2011-11-03,1.1471039020068634
2011-11-04,1.15337631980757
2011-11-07,1.1533836386321998
2011-11-08,1.1554045964012813
2011-11-09,1.1534126519742105
