date,ticker,side,ret
2010-08-31,ATW,long,-0.08312290436965941
2010-08-31,USG_old,long,0.0042466041733366655
2010-08-31,BEZ_old,long,-0.08215814380984665
2010-08-31,B_old,long,-0.18733191349247147
2010-08-31,NED,long,-0.3842356490730967
2010-08-31,EPAY,short,0.011291450003573756
2010-08-31,ANH,short,0.014870798016929278
2010-08-31,HI,short,0.13783279198720477
2010-08-31,JNY,short,0.08937750127891615
2010-08-31,NPSP,short,0.05537950335239462
2010-08-31,TCP,short,-0.04040126734886524
2010-09-30,SPN,long,0.1616973073525254
2010-09-30,DST,long,0.0915283059434091
2010-09-30,QSFT,long,0.2137295321044479
2010-09-30,FNRG,long,-0.015873040771484437
2010-09-30,SPNX,long,0.16169714688948722
2010-09-30,GAS1,long,0.046357587048532434
2010-09-30,GEN1,long,-0.11267660424821957
2010-09-30,DBD_old,long,0.09445247580845662
2010-09-30,DBDQQ,long,0.09447582147118871
2010-09-30,MFGLQ,short,-0.13451661343019047
2010-09-30,GSKNF,short,0.03282990129712861
2010-09-30,THOR1,long,0.148447163541636
2010-09-30,ARO,long,0.08654968982632716
2010-09-30,TPX,long,0.13660376210620906
2010-09-30,AROPQ,long,0.08654872058982854
2010-09-30,VSEA,long,0.14804531601986248
2010-09-30,ESI1,long,0.31937662143440226
2010-09-30,NOVL,long,0.048980357838636523
2010-09-30,JCG,long,0.09005079341032873
2010-09-30,OSGIQ,short,-0.08150189065737208
2010-09-30,HW,short,-0.1726384309168173
2010-09-30,CV_old,short,-0.02918106314576934
2010-09-30,ACC,short,-0.021131072993412523
2010-10-29,HOLI,long,0.27963207422147085
2010-10-29,RVBD,long,0.5194056574506956
2010-10-29,INT,long,0.07083912508123014
2010-10-29,SVR,long,0.3564487628984767
2010-10-29,GLG_old,long,0.01469317487205779
2010-10-29,ARST,long,0.7275041334818857
2010-10-29,EQC,short,-0.011586470345430628
2010-10-29,TECD,long,0.17908705956439186
2010-10-29,DYN_old,short,0.05882352372226256
2010-10-29,LVLT,short,0.02882867744169364
2010-10-29,JAH,short,-0.20333370064569017
2010-10-29,SIVB,short,-0.02410209038561073
2010-10-29,LNW,short,0.17623903630767584
2010-10-29,SIVBQ,short,-0.02410209038561073
2010-10-29,HI,short,-0.007208707290841521
2010-10-29,USG_old,short,0.026521449263168826
2010-10-29,ZIOP,short,-0.16063944640157468
2010-10-29,HME,short,-0.03425958714208557
2010-10-29,PCXCQ,short,-0.20568291920725817
2010-10-29,SGMS,short,0.17623903630767584
2010-10-29,NPSP,short,0.0873098394547641
2010-10-29,GR,short,-0.17132176738940758
2010-11-30,GTI_old,long,0.2383953697167014
2010-11-30,ASNA,long,-0.020774003931255836
2010-11-30,GYMB,long,0.5103926715523572
2010-11-30,LIA,long,-0.02176835043219194
2010-11-30,CRR,long,0.21373164796604138
2010-11-30,CPX,long,0.441003115368676
2010-11-30,BYI,long,0.20555674399551083
2010-11-30,ASNAQ,long,-0.020774003931255836
2010-11-30,CRRT,long,0.21094631162531607
2010-11-30,CHS,long,0.451856772056628
2010-11-30,OPAY,long,-0.1462957027172943
2010-11-30,PPS,short,-0.11925390010427636
2010-12-31,ARBA,long,0.4704313971854017
2010-12-31,CHSI,long,0.32367738481346975
2010-12-31,UNTCQ,long,0.11771558636188328
2010-12-31,NCR,long,0.8169679152322327
2010-12-31,USU,long,0.08533855571242532
2010-12-31,UNT,long,0.11771558636188328
2010-12-31,SFG,long,0.2151176588718675
2010-12-31,WGL,long,-0.0015121998334135522
2010-12-31,ESL,long,0.32117244096243813
2010-12-31,PLCM,long,0.302798976877346
2010-12-31,MIR_old,long,-0.0528714593972518
2010-12-31,HMSY,long,0.14375050297786562
2010-12-31,GRA,long,0.34376874814427505
2010-12-31,TXI,long,0.3526948026054473
2010-12-31,PULS1,long,0.4098535713201077
2010-12-31,MDCI,long,0.1645855632553752
2010-12-31,CHRS1,long,0.034083582876079266
2010-12-31,HLS,short,-0.0820331947596048
2010-12-31,AMLN,long,0.12530218452653696
2010-12-31,MOLX,long,0.12357769202306579
2010-12-31,UIL,short,-0.05602841563393361
2010-12-31,DST,long,0.0314447078771547
2010-12-31,CTRCQ,long,-0.03181452126515305
2010-12-31,GAS1,long,0.15045868123441508
2010-12-31,ESI1,long,0.07304245036313683
2010-12-31,CTRC,long,-0.03181445209931033
2010-12-31,SBIB,short,-0.19559068908405228
2010-12-31,SFYWQ,short,-0.08093608934142955
2010-12-31,JAH,short,-0.02205665333715165
2011-01-31,MGLN,long,0.14512987140023936
2011-01-31,CBST,long,0.004270487286069491
2011-01-31,TQNT,long,0.8739309866565832
2011-01-31,VPRT,long,0.4998503356886421
2011-01-31,SYMSQ,long,-0.2444504289333932
2011-01-31,ROCM,long,-0.052453873236668835
2011-01-31,MFLX_old,long,0.17374645255318155
2011-01-31,ESSA,long,-0.01224948555763572
2011-01-31,PTRY,long,-0.14692562795748176
2011-01-31,HAYN,long,0.34218791818677974
2011-01-31,KEYN,long,0.4340335943715268
2011-01-31,LKCO1,long,-0.13344592808567968
2011-01-31,HGSH,long,-0.6364279474288275
2011-01-31,LDR,long,-0.05457283446309236
2011-01-31,ZOLT,long,0.1579207158210607
2011-01-31,MDTH,long,0.3415569826772191
2011-01-31,DL,long,0.07572974803064225
2011-01-31,DEST,long,0.10473388801020889
2011-01-31,FHCO,long,-0.05688266850025436
2011-01-31,SRDX,long,-0.025368354583769626
2011-01-31,DESTQ,long,0.10473388801020889
2011-01-31,ISSI,long,0.3791793313884686
2011-01-31,BPL,short,0.23651793546897487
2011-01-31,EQC,short,-0.09153759283321797
2011-01-31,USG_old,short,-0.2929973180117839
2011-01-31,CERN,long,0.03444486251199996
2011-01-31,MKTY,long,-0.23607371943463984
2011-01-31,TPCA,long,0.12131150042424443
2011-01-31,FOFN,long,0.3410913890858256
2011-01-31,NEWN,long,-0.14854130733980142
2011-01-31,GRMS,long,-0.2509638240677602
2011-01-31,APPCQ,long,-0.38487077989650886
2011-01-31,PTX,long,0.798056047426098
2011-01-31,KNWND,long,0.46732294575585676
2011-01-31,UCCC,long,0.039999961853027344
2011-01-31,TST,long,0.1700987168379271
2011-01-31,OPAY,long,-0.034970792255121785
2011-01-31,NJMCD,long,-0.22777604314145272
2011-01-31,VLOV,long,-0.13499997456868496
2011-01-31,LLNW,short,-0.07314974374557058
2011-01-31,CYS,short,-0.016451265535551794
2011-01-31,MNTA,short,0.13540586952120626
2011-01-31,KAR,short,-0.08438723645670146
2011-01-31,GOODP,short,-0.018242096457704558
2011-01-31,LNW,short,-0.05678170818279901
2011-01-31,CSKI,short,0.24199178778122843
2011-01-31,GPOR_old,short,-0.10637870576214352
2011-01-31,LMST,short,0.08050567159386532
2011-01-31,SOMX,short,0.019973405136978435
2011-01-31,TSTC,short,0.2131684308020126
2011-01-31,BMTI,short,-0.02691396647403264
2011-01-31,CBLI,short,0.10382658686773602
2011-01-31,CRZO,short,0.012587367782507743
2011-01-31,MPG1,short,-0.3651079620456585
2011-01-31,ALTI_old,short,-0.05072464853126664
2011-01-31,BKYF,short,-0.05561613434298069
2011-01-31,ARIA,short,-0.2591270706579231
2011-01-31,EGIO,short,-0.07401038149206011
2011-01-31,ACW,short,0.05296490031684382
2011-01-31,FLIC,short,0.013559691462544538
2011-01-31,GEOY,short,0.05245993126013356
2011-01-31,SPPRO,short,-0.005383819412112152
2011-01-31,DLGC,short,-0.2900528058169591
2011-01-31,LCC,short,0.0011120983954136796
2011-01-31,SGMS,short,-0.05678170818279901
2011-01-31,CASC,short,0.04490778963655621
2011-01-31,HNGR,short,0.030202986355211674
2011-01-31,GPORQ,short,-0.10637870576214352
2011-01-31,PBIB,short,0.08050422716626074
2011-01-31,CNBC,short,-0.10889345379982275
2011-01-31,EGIOQ,short,-0.07314974374557058
2011-01-31,RTI,short,-0.09831173340996036
2011-01-31,LSE_old,short,0.03563009788559855
2011-01-31,KFN,short,-0.04648905658942484
2011-01-31,SPPRP,short,0.014089257201260032
2011-01-31,OWW,short,0.06668715556502108
2011-01-31,DRRX,short,0.07377722573648217
2011-01-31,XNPT,short,0.0751174071521988
2011-01-31,CIR,short,0.04056782601890316
2011-01-31,ERN,short,0.06296961958665927
2011-01-31,SYNM,short,0.1640326450481584
2011-01-31,JRCCQ,short,0.10604397025485632
2011-01-31,BGG,short,-0.01641608860987874
2011-01-31,FOE,short,-0.05327866903547896
2011-01-31,CAI_old,short,0.02104025077431686
2011-01-31,CBB,short,-0.017857142857142856
2011-01-31,ADGE,short,0.12167351853613649
2011-01-31,RAD,short,-0.46587967751898246
2011-01-31,FSYS,short,0.1116351052179345
2011-01-31,DYAX,short,0.11384109997661564
2011-01-31,CYTR,short,0.18246955389358302
2011-02-28,HS,long,0.9921823485612027
2011-02-28,ESND,long,0.24506392489294093
2011-02-28,LPNT,long,0.2450029943545271
2011-02-28,PHH_old,long,-0.015935563352558857
2011-02-28,USTR,long,0.24505755211341107
2011-02-28,MATK,long,0.5090070513260323
2011-02-28,IRC,short,-0.1941026001956196
2011-02-28,LUFK,long,1.0299073479539822
2011-02-28,SEH,long,-0.004139507310613966
2011-02-28,CSU,long,0.2346730286743146
2011-02-28,CHSP,long,-0.015536660083635634
2011-02-28,SWSH,long,0.25360144178875155
2011-02-28,FDNHQ,long,0.018363146357869287
2011-02-28,VPCO,long,0.40000000000000013
2011-02-28,CLSP,long,-0.07462688160516195
2011-02-28,PRGX,long,-0.11564756843402313
2011-02-28,HOFD,long,0.23853215343692868
2011-02-28,OPEN_old,long,0.2598643018342044
2011-02-28,FTLFD,long,0.13763313064515104
2011-02-28,CBPO,short,-0.03342655138482404
2011-02-28,CBEH,short,0.14051838249548337
2011-02-28,CALP,short,-0.07434917900235798
2011-02-28,GRT,short,-0.09681767951230114
2011-02-28,CSA1,short,-0.10517235114089864
2011-02-28,TOBC,short,-0.050205455239437584
2011-02-28,SQNM,short,0.22686607968151556
2011-02-28,GRWCD,long,0.0
2011-02-28,CNBI,long,-0.16363638097589683
2011-02-28,ESI1,long,0.13170948202334953
2011-02-28,AMPED,long,0.25000011121372445
2011-02-28,CHKE,long,0.06952275087082649
2011-02-28,CHSI,long,0.021241972680228427
2011-02-28,APEX,long,0.06952251523245367
2011-02-28,TLAB,long,0.01455485631255482
2011-02-28,ATS_old,long,-0.07734052967098237
2011-02-28,QLIK,long,0.10519535740686559
2011-02-28,WTR,long,0.28422493188595266
2011-02-28,RSH,long,-0.03329985134008562
2011-02-28,RGRXD,short,-0.010698492792342505
2011-02-28,ARNA,short,-0.03451212652019064
2011-02-28,TAYC,short,-0.04643060222343718
2011-02-28,PPS,short,-0.06276404901906661
2011-02-28,GEOI,short,-0.1497701641150213
2011-02-28,GRM,short,0.011585797785118498
2011-02-28,EMAN,short,-0.21860718786667246
2011-02-28,OPI,short,-0.04903420848003281
2011-02-28,ISH,short,0.005680381993899885
2011-02-28,PSID,short,-0.01508267719226207
2011-02-28,SATCQ,short,0.24671774668744575
2011-02-28,AXAS,short,-0.24634653154834177
2011-02-28,AREXQ,short,-0.2204724088468651
2011-02-28,ALJ,short,-0.42444301782734506
2011-02-28,AREX,short,-0.2204724088468651
2011-02-28,FPO,short,-0.01941327694678173
2011-02-28,ISHC,short,0.02004817366679423
2011-02-28,JAH,short,0.020759015031380605
2011-02-28,SUSS,short,0.0380843990408169
2011-02-28,HTS,short,-0.035202818191782885
2011-02-28,LVLT,short,-0.15519863387748153
2011-02-28,CDR,short,-0.023508488067319713
2011-02-28,CSHZ,short,-0.0406360468682076
2011-03-31,OMI,long,0.21396741672053077
2011-03-31,PDLI,long,0.015733108980897192
2011-03-31,AMSG,long,0.3865980158221882
2011-03-31,GLBL_old1,long,1.1145383353196054
2011-03-31,AFOP,long,-0.0910269867063418
2011-03-31,CVGW,long,0.02091368443639019
2011-03-31,TLRD,long,0.11202564363013767
2011-03-31,SHLO,long,0.15644633251656437
2011-03-31,SHFL,long,0.10422110689820574
2011-03-31,BRLI_old,long,0.04081637708318797
2011-03-31,NDZ,long,0.05472926034970116
2011-03-31,MTSC,long,0.3936341586136023
2011-03-31,INDT,long,0.10762235633707773
2011-03-31,GRIF,long,0.10771051357782957
2011-03-31,LOJN,long,-0.28968450875368135
2011-03-31,KRA,long,0.23224052522900873
2011-03-31,PDII,long,-0.24667931688804556
2011-03-31,EPL,long,0.20530165971550152
2011-03-31,CATG_old,long,-0.13599995963531597
2011-03-31,RCM,long,0.6820961313159934
2011-03-31,ERMS,long,0.22315306055082673
2011-03-31,NOR,long,0.09548515668300439
2011-03-31,SHS,long,0.801138963611842
2011-03-31,HRZL,long,-0.8054919908466819
2011-03-31,TARO,long,-0.01676391920749387
2011-03-31,SPMD1,long,-0.30807790660470924
2011-03-31,VSI,short,-0.011326560928599282
2011-03-31,CADX,short,-0.22315885240033706
2011-03-31,DVAX,short,0.1363356605913108
2011-03-31,IGTE,short,-0.23428829139512883
2011-03-31,LBY,short,-0.10402120586562881
2011-03-31,ARQL,short,-0.17208627268867202
2011-03-31,QLTY_old,short,-0.29852371461564964
2011-03-31,EPIQ,short,-0.11752264397694431
2011-03-31,GLUU,short,-0.43183653672070177
2011-03-31,BPFH,short,-0.07141676162373815
2011-03-31,SBFC,long,-0.21875
2011-03-31,VELA,long,-0.5218334482663105
2011-03-31,FOFN,long,-0.11864406779661019
2011-03-31,BBNK,long,0.017653509379746524
2011-03-31,CYS,short,-0.01909121214949063
2011-03-31,KITDQ,short,0.054196392706456556
2011-03-31,PPMIQ,short,0.08241518105453405
2011-03-31,SGEN,short,-0.06499248695657638
2011-03-31,BPZRQ,short,0.17606192472765145
2011-03-31,CRZO,short,-0.008284921709954455
2011-03-31,BKYF,short,-0.015640996633869326
2011-03-31,ACW,short,-0.004439143862252815
2011-03-31,BPZ,short,0.17606192472765145
2011-03-31,CASC,short,-0.25179259842504914
2011-03-31,AEL,short,-0.004195304922423127
2011-03-31,KFN,short,0.018108234362491166
2011-03-31,OWW,short,-0.015090527782997284
2011-03-31,CIR,short,-0.18695513320015678
2011-03-31,ERN,short,0.12627426109670087
2011-03-31,AFSI,short,0.004002028850134121
2011-03-31,ATPG,short,0.10832097062729984
2011-03-31,EXAS,short,-0.35653293502013683
2011-03-31,VQ,short,0.05598693177004563
