date,portfolio_value
2010-09-30,100052.61199289365
2010-10-01,99281.59784835142
2010-10-04,99501.99377512623
2010-10-05,98919.83840686388
2010-10-06,100290.40362265582
2010-10-07,100200.49523875331
2010-10-08,99970.82303150353
2010-10-11,100225.8691467713
2010-10-12,100035.9886767095
2010-10-13,100621.60631885742
2010-10-14,101573.06933633592
2010-10-15,100956.68589633699
2010-10-18,101423.18396177179
2010-10-19,101549.58664248136
2010-10-20,100743.78809117425
2010-10-21,101557.4303936274
2010-10-22,101871.31677579903
2010-10-25,102137.84463397485
2010-10-26,102184.70520858048
2010-10-27,102362.13293167541
2010-10-28,101873.49002301725
2010-10-29,101907.56504787091
2010-11-01,101749.45917047698
2010-11-02,102536.69283837233
2010-11-03,102831.54024570246
2010-11-04,103122.45204548133
2010-11-05,104785.8908025724
2010-11-08,104869.13562916205
2010-11-09,104585.5393955653
2010-11-10,104180.63237056964
2010-11-11,104337.79191064474
2010-11-12,104315.93244425707
2010-11-15,103547.42078378783
2010-11-16,103150.51685048637
2010-11-17,101875.30152971702
2010-11-18,101536.7517890667
2010-11-19,102618.96833850232
2010-11-22,103202.58527256275
2010-11-23,103652.78123187814
2010-11-24,102551.12765020385
2010-11-26,104244.70693902907
2010-11-29,102673.75636609296
2010-11-30,102627.53232448768
2010-12-01,101382.7216355838
2010-12-02,102889.34521412707
2010-12-03,103522.5392482101
2010-12-06,103762.70146184051
2010-12-07,103981.91349773033
2010-12-08,103911.18632180664
2010-12-09,104023.45800643247
2010-12-10,104897.24335911572
2010-12-13,105373.25614717044
2010-12-14,105588.61784997824
2010-12-15,105343.92272461073
2010-12-16,105233.73175043432
2010-12-17,105325.12413459491
2010-12-20,105063.98748413847
2010-12-21,105020.87886136661
2010-12-22,105560.62718173402
2010-12-23,105974.04417460278
2010-12-27,106000.02835661339
2010-12-28,105966.24603826478
2010-12-29,105921.48232612411
2010-12-30,105926.38029861105
2010-12-31,105026.0260133639
2011-01-03,105324.63118192159
2011-01-04,105212.87147295469
2011-01-05,105031.25980356269
2011-01-06,105565.69553466045
2011-01-07,105373.55470003643
2011-01-10,105307.88218192608
2011-01-11,105092.06368521097
2011-01-12,105237.29029265467
2011-01-13,106310.04500511618
2011-01-14,106274.89046034752
2011-01-18,106722.33343698409
2011-01-19,106003.57422652184
2011-01-20,104933.26079566615
2011-01-21,104394.60019687412
2011-01-24,104868.63559401888
2011-01-25,105978.64490567702
2011-01-26,106474.58607599177
2011-01-27,107019.56966076333
2011-01-28,106594.53160333892
2011-01-31,104508.16049078044
2011-02-01,105121.87163073136
2011-02-02,106600.01237527351
2011-02-03,106520.54573807512
2011-02-04,106140.17917349668
2011-02-07,106531.20505808185
2011-02-08,106853.39104765787
2011-02-09,106984.5334497773
2011-02-10,106722.82004723547
2011-02-11,107004.35029489458
2011-02-14,107324.94086307002
2011-02-15,107537.93360035868
2011-02-16,107156.47287691433
