date,n_universe,n_long,n_short,gross_long,gross_short,friction_cost
2019-01-06,8,2,2,1.0,1.0,0.08620264221371865
2019-01-13,8,2,2,1.0,0.6468102361308992,0.06746239630767681
2019-01-20,8,2,2,1.0,1.0,0.10764510567906299
2019-01-27,8,2,2,0.6476534983985109,1.0,0.028809230162768085
2019-02-03,8,2,2,1.0,1.0,0.04845866013614193
2019-02-10,8,2,2,0.6381291572620331,1.0,0.0913556596179943
2019-02-17,8,2,2,1.0,1.0,0.04393960364542236
2019-02-24,8,2,2,1.0,1.0,0.2723981198182315
2019-03-03,8,2,2,1.0,0.6214846199675038,0.026165258273359623
2019-03-10,8,2,2,1.0,0.6195208728994865,0.0271322604397935
2019-03-17,8,2,2,1.0,0.6251441616702113,0.04688173496752134
2019-03-24,8,2,2,0.634359241379309,1.0,0.02806732244548897
2019-03-31,8,2,2,1.0,1.0,0.031279040099997414
2019-04-07,8,2,2,1.0,1.0,0.13138000036660258
2019-04-14,8,2,2,0.69446460863974,1.0,0.09713282652529029
2019-04-21,8,2,2,1.0,1.0,0.11580092241475351
2019-04-28,8,2,2,1.0,1.0,0.037585505532458124
2019-05-05,8,2,2,1.0,1.0,0.040619055048803594
2019-05-12,8,2,2,0.7381625088273854,1.0,0.12546447582204856
2019-05-19,8,2,2,1.0,1.0,0.1600341638607229
2019-05-26,8,2,2,1.0,0.8187494334847252,0.17583417827715112
2019-06-02,8,2,2,1.0,0.863046261141611,0.05791685687146674
2019-06-09,8,2,2,1.0,1.0,0.12626351785175255
2019-06-16,8,2,2,1.0,0.9146021644045824,0.07537489741291013
2019-06-23,8,2,2,1.0,1.0,0.07378485718715033
2019-06-30,8,2,2,1.0,1.0,0.12255098895257893
2019-07-07,8,2,2,1.0,1.0,0.1368298298678799
2019-07-14,8,2,2,1.0,1.0,0.14514142895592796
2019-07-21,8,2,2,0.9348422188250969,1.0,0.09419339997592759
2019-07-28,8,2,2,0.9246538005644525,1.0,0.09852041839354742
2019-08-04,8,2,2,1.0,1.0,0.08123725933098516
2019-08-11,8,2,2,1.0,0.8970740764858101,0.09149654390531164
2019-08-18,8,2,2,1.0,1.0,0.13618775842201733
2019-08-25,8,2,2,1.0,0.8027817519918694,0.09945909207856979
2019-09-01,8,2,2,1.0,1.0,0.06741724563916922
2019-09-08,8,2,2,1.0,1.0,0.05607453685628582
2019-09-15,8,2,2,1.0,0.6947326398886083,0.02530702147855261
2019-09-22,8,2,2,1.0,1.0,0.0826124967097084
2019-09-29,8,2,2,1.0,0.6462710359700308,0.06127426940231745
2019-10-06,12,4,4,0.8544701099178011,1.0,0.06357461688767276
2019-10-13,12,4,4,1.0,0.8489458950748273,0.060011961076906255
2019-10-20,12,4,4,0.6970554739998838,1.0,0.08416541087794777
2019-10-27,12,4,4,1.0,0.8471030547200584,0.08483785676426604
2019-11-03,12,4,4,0.8679406726722549,1.0,0.036492657977489025
2019-11-10,12,4,4,0.8686851172800405,0.8854998254083895,0.027491438577393702
2019-11-17,12,4,4,1.0,1.0,0.02669108391576943
2019-11-24,12,4,4,0.8843469819743078,1.0,0.11526213804344573
2019-12-01,12,4,4,0.9136988025257311,0.8948392137284067,0.06926462656173107
2019-12-08,12,4,4,1.0,0.9148738275517281,0.02666901826497728
2019-12-15,12,4,4,0.9166219593889626,1.0,0.0764342049264931
2019-12-22,12,4,4,1.0,0.9075257035728076,0.07082549741444281
2019-12-29,12,4,4,0.9127488591413105,1.0,0.09354263376614841
2020-01-05,14,4,4,0.8984835347899367,1.0,0.07516796210283898
2020-01-12,14,4,4,1.0,1.0,0.04746839783123558
2020-01-19,14,4,4,0.9303025832717718,1.0,0.12144821316594406
2020-01-26,14,4,4,0.9298392571343035,1.0,0.04345685082897262
2020-02-02,14,4,4,1.0,0.9101813857922456,0.1980651299850065
2020-02-09,14,4,4,1.0,0.9138830962155962,0.03772170713568125
2020-02-16,14,4,4,1.0,1.0,0.18198493708738173
2020-02-23,14,4,4,1.0,0.9486821732159441,0.11762056420667452
2020-03-01,14,4,4,0.9586326050207534,1.0,0.1306949749756957
2020-03-08,14,4,4,1.0,0.9921666820121955,0.22101381801374578
2020-03-15,14,4,4,1.0,0.9939641970380927,0.10207626556846361
2020-03-22,14,4,4,1.0,0.9824101185796839,0.18581438813915913
2020-03-29,14,4,4,1.0,1.0,0.06483700830097378
2020-04-05,15,5,5,1.0,1.0,0.08142649784445712
2020-04-12,15,5,5,1.0,1.0,0.07024985385297662
2020-04-19,15,5,5,1.0,0.85729492814055,0.08272760941864069
2020-04-26,15,5,5,1.0,0.8584232203048978,0.03814578761231888
2020-05-03,15,5,5,0.8584694944866942,1.0,0.10100638092834208
2020-05-10,15,5,5,1.0,0.8585401541546396,0.1951047029116237
2020-05-17,15,5,5,1.0,1.0,0.13132102382153674
2020-05-24,15,5,5,0.8446412888589288,1.0,0.0735251646433596
2020-05-31,15,5,5,1.0,0.9864577951300162,0.07515527806903423
2020-06-07,15,5,5,1.0,0.9897253469256306,0.12210962048556773
2020-06-14,15,5,5,0.9071990651081574,1.0,0.02491765680921637
2020-06-21,15,5,5,0.9194712558823968,1.0,0.054439447357940075
2020-06-28,15,5,5,1.0,0.9299380212146993,0.09507554219394307
2020-07-05,15,5,5,0.9524508867928445,1.0,0.06225020993281524
2020-07-12,15,5,5,0.9992538768591641,1.0,0.08932960402034207
2020-07-19,15,5,5,1.0,1.0,0.07050355991960851
2020-07-26,15,5,5,0.9817047865065466,1.0,0.0603416706104528
2020-08-02,15,5,5,1.0,1.0,0.2331374168730858
2020-08-09,15,5,5,1.0,0.9577411642176081,0.08541587437306804
2020-08-16,15,5,5,1.0,0.9546481987246643,0.06008201909364326
2020-08-23,15,5,5,0.9609883680050331,1.0,0.09270715777709812
2020-08-30,15,5,5,1.0,0.9547459798072233,0.0675591064344228
2020-09-06,15,5,5,1.0,1.0,0.1474095152174939
2020-09-13,15,5,5,1.0,1.0,0.14476028045873113
2020-09-20,15,5,5,1.0,1.0,0.07429253361489044
2020-09-27,15,5,5,1.0,1.0,0.08079338378002794
2020-10-04,15,5,5,1.0,1.0,0.08152244888047136
2020-10-11,15,5,5,1.0,1.0,0.08003094412344475
2020-10-18,15,5,5,0.9886064122615288,1.0,0.04795703882196253
2020-10-25,15,5,5,0.9820953581008545,1.0,0.13920112823017503
2020-11-01,15,5,5,1.0,0.9675153552742848,0.06090210858292538
2020-11-08,15,5,5,0.9555834508517255,1.0,0.059179701037122896
2020-11-15,15,5,5,1.0,0.9384944592092817,0.10456548440297443
2020-11-22,15,5,5,1.0,1.0,0.22671195495934135
2020-11-29,15,5,5,1.0,1.0,0.1162360668954486
2020-12-06,15,5,5,1.0,1.0,0.07566391412449126
2020-12-13,15,5,5,1.0,1.0,0.06944549046196222
2020-12-20,15,5,5,1.0,1.0,0.13595051815528938
2020-12-27,15,5,5,1.0,1.0,0.15331884932976383
2021-01-03,15,5,5,1.0,1.0,0.1350530997416024
2021-01-10,15,5,5,1.0,1.0,0.3450450845691484
2021-01-17,15,5,5,1.0,1.0,0.20199456957920714
2021-01-24,15,5,5,1.0,1.0,0.14810630299363478
2021-01-31,15,5,5,1.0,1.0,0.13569149036653114
2021-02-07,15,5,5,1.0,1.0,0.1674270325557877
2021-02-14,15,5,5,1.0,1.0,0.23053521262827997
2021-02-21,15,5,5,1.0,1.0,0.06986894324378372
2021-02-28,15,5,5,1.0,1.0,0.2271842574207847
2021-03-07,15,5,5,1.0,1.0,0.08057156431290123
2021-03-14,15,5,5,1.0,1.0,0.11246947154304275
2021-03-21,15,5,5,1.0,1.0,0.037145953712906514
2021-03-28,15,5,5,1.0,1.0,0.0949476648956266
2021-04-04,18,6,6,1.0,1.0,0.1136147529239542
2021-04-11,18,6,6,1.0,1.0,0.17865551607230915
2021-04-18,18,6,6,1.0,1.0,0.32492802210706306
2021-04-25,18,6,6,1.0,1.0,0.18386618737345073
2021-05-02,18,6,6,1.0,1.0,0.07398634870410652
2021-05-09,18,6,6,1.0,1.0,0.12894102780776984
2021-05-16,18,6,6,1.0,1.0,0.1279280448955994
2021-05-23,18,6,6,1.0,1.0,0.3639134279027024
2021-05-30,18,6,6,1.0,1.0,0.18636105525448143
2021-06-06,18,6,6,1.0,1.0,0.034575794798151996
2021-06-13,18,6,6,1.0,1.0,0.10103181989812156
2021-06-20,18,6,6,1.0,1.0,0.0809126719136192
2021-06-27,18,6,6,1.0,1.0,0.09445607049099318
2021-07-04,19,6,6,1.0,1.0,0.05016935068422544
2021-07-11,19,6,6,1.0,1.0,0.07536616771263364
2021-07-18,19,6,6,1.0,1.0,0.05873177768149227
2021-07-25,19,6,6,1.0,1.0,0.06462105345109767
2021-08-01,19,6,6,1.0,1.0,0.08779699114135237
2021-08-08,19,6,6,1.0,1.0,0.12341524343925418
2021-08-15,19,6,6,1.0,1.0,0.14857212676492057
2021-08-22,19,6,6,1.0,1.0,0.10734894943888017
2021-08-29,19,6,6,1.0,1.0,0.10134525377685509
2021-09-05,19,6,6,1.0,1.0,0.11627171523914594
2021-09-12,19,6,6,1.0,1.0,0.14231650171205762
2021-09-19,19,6,6,1.0,1.0,0.07520636971554624
2021-09-26,19,6,6,1.0,1.0,0.17222897650179833
2021-10-03,19,6,6,1.0,1.0,0.09366259429028287
2021-10-10,19,6,6,1.0,1.0,0.11991620419728072
2021-10-17,19,6,6,1.0,1.0,0.0738834378881518
2021-10-24,19,6,6,1.0,1.0,0.09119437044243602
2021-10-31,19,6,6,1.0,1.0,0.09606814862435578
2021-11-07,19,6,6,1.0,1.0,0.03521288442256055
2021-11-14,19,6,6,1.0,1.0,0.03683092093407083
2021-11-21,19,6,6,1.0,1.0,0.0705516923158456
2021-11-28,19,6,6,1.0,1.0,0.15189882002391325
2021-12-05,19,6,6,1.0,1.0,0.15037768429949025
2021-12-12,19,6,6,1.0,1.0,0.08995730670135609
2021-12-19,19,6,6,1.0,1.0,0.10603026559747925
2021-12-26,19,6,6,1.0,1.0,0.11281040517590789
2022-01-02,19,6,6,1.0,1.0,0.0853869091781688
2022-01-09,19,6,6,1.0,1.0,0.06696886731887396
2022-01-16,19,6,6,1.0,1.0,0.07132129351715837
2022-01-23,19,6,6,1.0,1.0,0.07941628972187567
2022-01-30,19,6,6,1.0,1.0,0.09785465343994693
2022-02-06,19,6,6,1.0,1.0,0.0783090090947321
2022-02-13,19,6,6,1.0,1.0,0.06978233382533572
2022-02-20,19,6,6,1.0,1.0,0.05243061889523964
2022-02-27,19,6,6,1.0,1.0,0.0970550671455644
2022-03-06,19,6,6,1.0,1.0,0.05824643197843985
2022-03-13,19,6,6,1.0,1.0,0.09270501828506317
2022-03-20,19,6,6,1.0,1.0,0.12532329275884385
2022-03-27,19,6,6,1.0,1.0,0.10632946978292646
2022-04-03,19,6,6,1.0,1.0,0.05126335977604243
2022-04-10,19,6,6,1.0,1.0,0.05443964029901941
2022-04-17,19,6,6,1.0,1.0,0.06345410240060531
2022-04-24,19,6,6,1.0,1.0,0.05890992295846766
2022-05-01,19,6,6,1.0,1.0,0.0949288647131174
2022-05-08,19,6,6,1.0,1.0,0.07774088298980401
2022-05-15,19,6,6,1.0,1.0,0.15903097345349054
2022-05-22,19,6,6,1.0,1.0,0.0811095346286436
2022-05-29,19,6,6,1.0,1.0,0.07465104531955435
2022-06-05,19,6,6,1.0,1.0,0.07550735018339065
2022-06-12,19,6,6,1.0,1.0,0.157048784514557
2022-06-19,19,6,6,1.0,1.0,0.20782255054906973
2022-06-26,19,6,6,1.0,1.0,0.10692606352064662
2022-07-03,20,6,6,1.0,1.0,0.05816713416992367
2022-07-10,20,6,6,1.0,1.0,0.09951282218817084
2022-07-17,20,6,6,1.0,1.0,0.12041310876759008
2022-07-24,20,6,6,1.0,1.0,0.05657246461846198
2022-07-31,20,6,6,1.0,1.0,0.08948066852095056
2022-08-07,20,6,6,1.0,1.0,0.07435434114781343
2022-08-14,20,6,6,1.0,1.0,0.07861390859058263
2022-08-21,20,6,6,1.0,1.0,0.08594397312222843
2022-08-28,20,6,6,1.0,1.0,0.06719336855783782
2022-09-04,20,6,6,1.0,1.0,0.06110168304221824
2022-09-11,20,6,6,1.0,1.0,0.046445584278082166
2022-09-18,20,6,6,1.0,0.9941338279849907,0.09633181251930126
2022-09-25,20,6,6,1.0,1.0,0.0679560136151858
2022-10-02,23,7,7,1.0,1.0,0.0733887201985985
2022-10-09,23,7,7,1.0,1.0,0.036469790991744404
2022-10-16,23,7,7,1.0,1.0,0.03370353377197878
2022-10-23,23,7,7,1.0,1.0,0.051918523320625166
2022-10-30,23,7,7,1.0,1.0,0.08224707838482868
2022-11-06,23,7,7,1.0,1.0,0.12301642505366805
2022-11-13,23,7,7,1.0,1.0,0.0934923429468275
2022-11-20,23,7,7,1.0,1.0,0.09522600583111307
2022-11-27,23,7,7,1.0,0.9987820931381126,0.08409673575523181
2022-12-04,23,7,7,1.0,1.0,0.02085107529198418
2022-12-11,23,7,7,1.0,1.0,0.05886785612347686
2022-12-18,23,7,7,1.0,0.9793068752824083,0.03761759693874806
2022-12-25,23,7,7,1.0,1.0,0.03295393565259476
2023-01-01,25,8,8,1.0,0.9605323382371799,0.03939788710718103
2023-01-08,25,8,8,1.0,1.0,0.040516364102746776
2023-01-15,25,8,8,1.0,0.9425856107323254,0.06148129409297719
2023-01-22,25,8,8,1.0,1.0,0.08086343994601206
2023-01-29,25,8,8,0.9361030956424657,1.0,0.10593077398183187
2023-02-05,25,8,8,1.0,0.9317489196009625,0.07838494997279644
2023-02-12,25,8,8,1.0,0.9226636195975306,0.04632873588597712
2023-02-19,25,8,8,0.9233228353478465,1.0,0.09113558006063387
2023-02-26,25,8,8,0.9244297228702419,1.0,0.0617191172873322
2023-03-05,25,8,8,0.9246898424158423,1.0,0.04863253301026203
2023-03-12,25,8,8,1.0,1.0,0.11151694088674756
2023-03-19,25,8,8,1.0,0.9284391058615256,0.05104756790188444
2023-03-26,25,8,8,1.0,1.0,0.04342203335344446
2023-04-02,25,8,8,1.0,1.0,0.07402769697942385
2023-04-09,25,8,8,1.0,1.0,0.04867121755410281
2023-04-16,25,8,8,0.9434388673221864,1.0,0.06241081470149727
2023-04-23,25,8,8,1.0,1.0,0.05331627930376599
2023-04-30,25,8,8,1.0,0.9413410059292661,0.05235992404475571
2023-05-07,25,8,8,1.0,1.0,0.032751352442975834
2023-05-14,25,8,8,1.0,1.0,0.023521548817201938
2023-05-21,25,8,8,1.0,1.0,0.04038340222848758
2023-05-28,25,8,8,0.929598824377515,1.0,0.06125105261685716
2023-06-04,25,8,8,0.9329096147526791,0.9907963184642579,0.041721040657027725
2023-06-11,25,8,8,1.0,0.9319168574486614,0.06217658974391451
2023-06-18,25,8,8,0.9730108404372388,1.0,0.03532256571122113
2023-06-25,25,8,8,1.0,0.9631418908597149,0.0809660958579199
2023-07-02,25,8,8,0.9500948895899555,1.0,0.04842469415958742
2023-07-09,25,8,8,1.0,1.0,0.044947260399625696
2023-07-16,25,8,8,1.0,0.9387075339131637,0.05517892251546935
2023-07-23,25,8,8,1.0,1.0,0.05330210747500385
2023-07-30,25,8,8,1.0,1.0,0.03456585841053012
2023-08-06,25,8,8,1.0,0.9269072933054967,0.032014294832650295
2023-08-13,25,8,8,1.0,0.9262142273350409,0.027818338334873773
2023-08-20,25,8,8,1.0,1.0,0.02269398854402663
2023-08-27,25,8,8,0.9229512379258519,1.0,0.035792416027067404
2023-09-03,25,8,8,1.0,0.9209534076055852,0.030019434439556684
2023-09-10,25,8,8,1.0,1.0,0.04153315879519657
2023-09-17,25,8,8,0.9984275193005361,1.0,0.04117203497622545
2023-09-24,25,8,8,0.9938708384290666,0.9149075378162065,0.032557694059147727
2023-10-01,25,8,8,1.0,1.0,0.0552525335338754
2023-10-08,25,8,8,1.0,0.991032679461061,0.034870284319182245
2023-10-15,25,8,8,0.9969876519621441,1.0,0.02421715298170074
2023-10-22,25,8,8,1.0,0.9894030711377222,0.062422149916951816
2023-10-29,25,8,8,1.0,1.0,0.0760713084065061
2023-11-05,25,8,8,1.0,1.0,0.0808688711605562
2023-11-12,25,8,8,0.9853983120243673,1.0,0.08803151951332489
2023-11-19,25,8,8,1.0,1.0,0.07437547953537003
2023-11-26,25,8,8,1.0,0.982723187067055,0.06777247046670808
2023-12-03,25,8,8,1.0,0.9797837308029085,0.037093286959936814
2023-12-10,25,8,8,0.9800017080520966,1.0,0.09711931361513146
2023-12-17,25,8,8,1.0,1.0,0.1078199082425207
2023-12-24,25,8,8,1.0,1.0,0.07669578190544026
2023-12-31,26,8,8,0.9877809656244962,1.0,0.06277523560253988
2024-01-07,26,8,8,1.0,1.0,0.12476205336842958
2024-01-14,26,8,8,1.0,0.9979937109386193,0.07389216243713408
2024-01-21,26,8,8,1.0,0.9967364417768978,0.058302667707035835
2024-01-28,26,8,8,1.0,1.0,0.06544591876421402
2024-02-04,26,8,8,1.0,1.0,0.05144141713158698
2024-02-11,26,8,8,1.0,1.0,0.057647278677824834
2024-02-18,26,8,8,1.0,1.0,0.060280205854261776
2024-02-25,26,8,8,1.0,1.0,0.04604675197489567
2024-03-03,26,8,8,1.0,1.0,0.12978695360970205
2024-03-10,26,8,8,1.0,1.0,0.11369000916600655
2024-03-17,26,8,8,1.0,1.0,0.16162270383314903
2024-03-24,26,8,8,1.0,1.0,0.0534099475867402
2024-03-31,26,8,8,1.0,1.0,0.03560225612618614
2024-04-07,26,8,8,1.0,1.0,0.04756767362027978
2024-04-14,26,8,8,1.0,1.0,0.1190271763895541
2024-04-21,26,8,8,1.0,1.0,0.07168268107449614
2024-04-28,26,8,8,1.0,1.0,0.07852490645250794
2024-05-05,26,8,8,1.0,1.0,0.06243230270661864
2024-05-12,26,8,8,1.0,1.0,0.032216493518246396
2024-05-19,26,8,8,1.0,1.0,0.05925509407793752
2024-05-26,26,8,8,1.0,1.0,0.05416460479681797
2024-06-02,26,8,8,1.0,1.0,0.029348754153421787
2024-06-09,26,8,8,1.0,1.0,0.03822375230232072
2024-06-16,26,8,8,1.0,1.0,0.03254888057393636
2024-06-23,26,8,8,1.0,1.0,0.06101679932713885
2024-06-30,26,8,8,1.0,0.9964236255432914,0.05479607601413553
2024-07-07,26,8,8,0.9423428729678126,1.0,0.12858044888524237
2024-07-14,26,8,8,1.0,0.9193061697019231,0.05802830264817341
2024-07-21,26,8,8,0.943920319007213,1.0,0.08518116050501987
2024-07-28,26,8,8,0.948554572463834,1.0,0.0511630383784897
2024-08-04,26,8,8,0.945034647436655,1.0,0.14307190841339854
2024-08-11,26,8,8,1.0,1.0,0.11514449775176648
2024-08-18,26,8,8,0.9505300661523588,0.9348087566750953,0.05560520289454787
2024-08-25,26,8,8,0.9291816180934354,0.9485526334451024,0.0577252271459276
2024-09-01,26,8,8,1.0,0.925639664337439,0.05389631991315984
2024-09-08,26,8,8,1.0,0.9219598974841423,0.06174941965273946
2024-09-15,26,8,8,1.0,0.9321198945559762,0.07587407186100055
2024-09-22,26,8,8,0.9810931952001112,1.0,0.06351825465972777
2024-09-29,26,8,8,0.9791695349785964,0.9451032054683368,0.03858804325871912
