date,ticker,ret,gross_ret,type,cost
2010-12-31,BNE_old,0.014121787157062249,0.014121787157062249,rebalance_exit,4000.3174603174602
2010-12-31,ENH,0.16186820417602954,0.16383583940246305,rebalance_exit,4000.3174603174602
2010-12-31,HME,0.04567326686868878,0.0489603039296862,rebalance_exit,4000.3174603174602
2010-12-31,LIA,-0.05413586634940004,-0.05413586634940004,rebalance_exit,4000.3174603174602
2010-12-31,PSYS1,0.0041579270013902825,0.0041579270013902825,rebalance_exit,4000.3174603174602
2010-12-31,HLS,0.07527500700802014,0.07527500700801992,rebalance_exit,4000.3174603174602
2010-12-31,SFG,0.20109018592032823,0.20646868111383565,rebalance_exit,4000.3174603174602
2010-12-31,TECD,0.09097047466961006,0.09230772434561607,rebalance_exit,4000.3174603174602
2010-12-31,AXE,0.16033308771869215,0.16033308771869215,rebalance_exit,4000.3174603174602
2011-03-31,CNL_old1,0.1576637388243507,0.1576637388243507,rebalance_exit,4000.3174603174602
2011-03-31,OMI,0.15595057926086642,0.15595057926086664,rebalance_exit,4000.3174603174602
2011-03-31,BMTC,0.1833592285156802,0.1833592285156802,rebalance_exit,732.0848199378352
2011-03-31,FDP,0.04461086610992582,0.047648686192360845,rebalance_exit,732.0848199378352
2011-03-31,LWSN,0.3023426970348544,0.3081081493480786,rebalance_exit,732.0848199378352
2011-03-31,LDR,0.03503849746311949,0.03503849746311949,rebalance_exit,732.0848199378352
2011-03-31,NDZ,0.027214812553532308,0.03336212597183219,rebalance_exit,732.0848199378352
2011-03-31,HTS,-0.04394386839791031,-0.04255039331101207,rebalance_exit,732.0848199378352
2011-03-31,UIL,0.031052055647466492,0.031052055647466492,rebalance_exit,732.0848199378352
2011-03-31,MPW,0.08404414970554042,0.08404414970554064,rebalance_exit,732.0848199378352
2011-03-31,MINI,0.2199106461937559,0.2199106461937561,rebalance_exit,732.0848199378352
2011-03-31,ACCL_old,-0.036144600462750365,-0.036144600462750365,rebalance_exit,732.0848199378352
2011-03-31,ATMI,-0.054564891196553056,-0.05265802990405,rebalance_exit,732.0848199378352
2011-03-31,WAC,-0.10289146474988065,-0.10289146474988065,rebalance_exit,732.0848199378352
2011-03-31,BOBE,-0.011273427072515996,-0.00634718938600054,rebalance_exit,732.0848199378352
2011-03-31,UBA,0.003563604681039001,0.003563604681039223,rebalance_exit,732.0848199378352
2011-03-31,TSRA,-0.18826033492734517,-0.18111270615993202,rebalance_exit,732.0848199378352
2011-03-31,AMSG,0.2143197903391476,0.2143197903391476,rebalance_exit,732.0848199378352
2011-03-31,JAH,0.15513338241009578,0.15513338241009578,rebalance_exit,732.0848199378352
2011-03-31,DHCP,-0.10289425461201707,-0.10289425461201696,rebalance_exit,732.0848199378352
2011-06-30,MRH,0.05469291357017103,0.05670021157189575,rebalance_exit,4000.3174603174602
2011-06-30,PTP,-0.2362132047602722,-0.2362132047602723,rebalance_exit,4000.3174603174602
2011-06-30,CV_old,0.8418179095068452,0.8450862783913293,rebalance_exit,4000.3174603174602
2011-06-30,PCH,0.1047351226657014,0.10905899953376275,rebalance_exit,732.0848199378352
2011-06-30,NXGN,0.2952908407024786,0.2952908407024786,rebalance_exit,732.0848199378352
2011-06-30,MHLD,0.17226965917619164,0.17511227948528352,rebalance_exit,732.0848199378352
2011-06-30,B_old,0.20903045859918157,0.20903045859918135,rebalance_exit,732.0848199378352
2011-06-30,EDE,-0.10618923720121076,-0.10618923720121076,rebalance_exit,732.0848199378352
2011-06-30,LANC,0.07250740457444804,0.07582255873313803,rebalance_exit,732.0848199378352
