date,portfolio_value
2011-02-28,9877341.949240968
2011-03-01,9906258.993055036
2011-03-02,9812999.02350808
2011-03-03,9833581.442406151
2011-03-04,10089960.069327358
2011-03-07,9971791.24731399
2011-03-08,9877927.738866892
2011-03-09,9858596.614332026
2011-03-10,9819860.656144544
2011-03-11,9524239.528656071
2011-03-14,9603956.324218886
2011-03-15,9589502.549929941
2011-03-16,9612288.650156323
2011-03-17,9301076.589151371
2011-03-18,9494405.814130822
2011-03-21,9563658.00880927
2011-03-22,9755261.861778054
2011-03-23,9764727.154422717
2011-03-24,9778022.65651619
2011-03-25,9892329.668479385
2011-03-28,9999021.27827426
2011-03-29,10046158.209440071
2011-03-30,10170107.823265012
2011-03-31,10288270.585938562
2011-04-01,10221030.525806246
2011-04-04,10234620.5557953
2011-04-05,10262461.995043699
2011-04-06,10251484.289757269
2011-04-07,10240751.884518739
2011-04-08,10167944.10771768
2011-04-11,10075824.110776486
2011-04-12,9979118.48338919
2011-04-13,10046221.978082266
2011-04-14,10082485.868799128
2011-04-15,10159292.130870488
2011-04-18,10134203.624720767
2011-04-19,10006538.304192808
2011-04-20,10086549.935537979
2011-04-21,10254273.664389418
2011-04-25,10362427.666243657
2011-04-26,10317020.416431932
2011-04-27,10424430.597987622
2011-04-28,10409969.321849713
2011-04-29,10414193.770938795
2011-05-02,10254423.261074524
2011-05-03,10087074.312588772
2011-05-04,9906423.863202918
2011-05-05,9820745.365814218
2011-05-06,9788824.364555595
2011-05-09,9917434.957376353
2011-05-10,9979079.648925193
2011-05-11,10073802.322697096
2011-05-12,9943292.002618264
2011-05-13,9967981.24015464
2011-05-16,9644453.949215198
2011-05-17,9504706.057084765
2011-05-18,9555929.648914997
2011-05-19,9697053.87833594
2011-05-20,9851934.65296698
2011-05-23,9686680.226978634
2011-05-24,9542841.200232057
2011-05-25,9650544.44338066
2011-05-26,9733280.883134566
2011-05-27,9808957.74090267
2011-05-31,9833133.761064956
2011-06-01,10013987.433720343
2011-06-02,9635028.462606361
2011-06-03,9673630.244190587
2011-06-06,9449271.382520245
2011-06-07,9346521.973146092
2011-06-08,9247974.896921147
2011-06-09,9220741.954548914
2011-06-10,9406326.543072492
2011-06-13,9107237.934775453
2011-06-14,9176460.97274588
2011-06-15,9389012.271262681
2011-06-16,9098607.581475835
2011-06-17,9045850.52102983
2011-06-20,9070804.94826383
2011-06-21,9233735.643334562
2011-06-22,9441949.204397893
2011-06-23,9374828.28082662
2011-06-24,9470927.627536878
2011-06-27,9194343.451513058
2011-06-28,9285742.064641051
2011-06-29,9398678.143557992
2011-06-30,9432698.472853519
2011-07-01,9515937.81924523
2011-07-05,9871844.454008386
2011-07-06,9886733.097986475
2011-07-07,9876756.434183931
2011-07-08,10083729.980826454
2011-07-11,9983276.918531
2011-07-12,9748450.216258839
2011-07-13,9798193.314747289
2011-07-14,9809889.393937934
2011-07-15,9693964.25012386
2011-07-18,9751892.846854974
2011-07-19,9624196.808300339
2011-07-20,9810288.933158604
2011-07-21,9654674.00721712
2011-07-22,9873417.742928682
2011-07-25,9769701.594766226
2011-07-26,9586345.3278923
2011-07-27,9524002.515916247
2011-07-28,9415715.385430729
2011-07-29,9401078.489266062
2011-08-01,9387804.303945877
2011-08-02,9290630.677194543
2011-08-03,8950563.580903433
2011-08-04,8885710.31181837
2011-08-05,8247170.1525236545
2011-08-08,8045594.806923871
2011-08-09,7443342.184045479
2011-08-10,8116216.482115189
2011-08-11,7545618.395850946
2011-08-12,8002393.29931861
2011-08-15,8090652.01310436
2011-08-16,8161359.916727583
2011-08-17,7985003.607342967
2011-08-18,7884247.740706866
2011-08-19,7423444.942061979
2011-08-22,7179195.924850934
2011-08-23,7260592.143208073
2011-08-24,7498344.892011807
2011-08-25,7545083.820128566
2011-08-26,7455876.6394450255
2011-08-29,7661844.441711328
2011-08-30,8059244.301716517
2011-08-31,7963216.062508323
2011-09-01,7974323.358150329
2011-09-02,7873545.098150667
2011-09-06,7670120.16311431
2011-09-07,7601605.954487423
2011-09-08,7959359.581965378
2011-09-09,7894776.387091089
2011-09-12,7553340.545636028
2011-09-13,7684241.929701448
2011-09-14,7733442.512365634
2011-09-15,7791883.996344985
2011-09-16,7967361.776093121
2011-09-19,8055713.772513038
2011-09-20,7753290.632655168
2011-09-21,7748352.467749541
2011-09-22,7384934.6066075545
2011-09-23,7022099.744534961
2011-09-26,6895705.497799509
2011-09-27,7209357.366755282
2011-09-28,7202678.5278438935
2011-09-29,6934284.978606079
2011-09-30,7017437.277900459
2011-10-03,6660971.666152785
2011-10-04,6584522.530526874
2011-10-05,6738852.960557829
2011-10-06,6920599.963469473
2011-10-07,7009762.983241912
2011-10-10,6927754.00696954
2011-10-11,7366615.980974468
2011-10-12,7419524.990756345
2011-10-13,7566123.599399293
2011-10-14,7688722.986657036
2011-10-17,7744637.303610917
2011-10-18,7661678.328985851
2011-10-19,7730916.040602625
2011-10-20,7685887.091780089
2011-10-21,7745878.018069784
2011-10-24,7793606.581218474
2011-10-25,7813347.601161916
2011-10-26,7788627.775534373
2011-10-27,7833787.904777055
2011-10-28,7866362.102988872
2011-10-31,7982765.26046086
2011-11-01,7866820.632220355
2011-11-02,8205952.316477479
2011-11-03,8347560.140789361
2011-11-04,8397842.25214711
2011-11-07,8357161.739007241
2011-11-08,8370769.938701293
2011-11-09,8411083.587697994
2011-11-10,8294698.2148441365
2011-11-11,8325529.89462909
2011-11-14,8384175.878823945
2011-11-15,8367900.4785265485
2011-11-16,8220761.314378426
2011-11-17,8195767.352489232
2011-11-18,8147446.3211429315
2011-11-21,8171861.092136339
2011-11-22,8144629.104479196
2011-11-23,8148030.850491278
2011-11-25,8069450.990035146
2011-11-28,8080979.7708581695
2011-11-29,8150320.881591805
2011-11-30,7901155.542172924
2011-12-01,8192902.14019534
2011-12-02,8259789.108301367
2011-12-05,8213790.512146412
2011-12-06,8298287.160963084
2011-12-07,8255765.312071561
2011-12-08,8316029.357478665
2011-12-09,8209774.8545243405
2011-12-12,8283633.503616597
2011-12-13,8216095.00809283
2011-12-14,8171026.716447438
2011-12-15,8152529.785553099
2011-12-16,8161933.149034905
2011-12-19,8169468.236838188
2011-12-20,8129679.2113757245
2011-12-21,8213881.355737447
2011-12-22,8191323.132567157
