date,loser_10d_ret
2011-10-14,0.11721176015867574
2011-10-21,0.13505775508285112
2011-10-27,0.11065647501047016
2011-11-02,0.10598398290373012
2011-12-09,0.13283971897116942
2012-01-03,0.10103762167716246
2012-01-11,0.12526109602077606
2012-01-19,0.10381380045626298
2012-02-02,0.10427529146915648
2012-02-13,0.10576112960535444
2012-08-16,0.1037686037317993
2012-09-14,0.13431360207406096
2012-11-30,0.10034264311666563
2013-07-11,0.11398551311114113
2013-07-15,0.10483751594441526
2013-12-24,0.10840121412155579
2014-01-02,0.12297728004140285
2015-02-11,0.12106814471602201
2015-02-19,0.11967868652059455
2015-04-15,0.12672373504434598
2015-09-08,0.12254612076145777
2015-10-08,0.11442588607286064
2015-11-10,0.13132748541295225
2016-02-02,0.10115404676167361
2016-03-03,0.1793682910272516
2016-04-18,0.10804658796425315
2016-06-02,0.1054837620751965
2016-07-12,0.1749275204894416
2016-11-15,0.1002188321598374
2017-09-12,0.11399983457177987
2018-01-02,0.13420492304208453
2018-05-15,0.10049395924953974
2018-05-17,0.10179131488355142
2018-05-22,0.10465891013715445
2019-01-07,0.14921396728598046
2019-02-15,0.10373237130382895
2019-09-09,0.11298516228751887
2019-11-29,0.12008315171570749
2019-12-19,0.12090992869060613
2020-01-03,0.15169738914260278
2020-03-26,0.21470536179922206
2020-03-30,0.13465762696731032
2020-04-14,0.11839842972490833
2020-04-16,0.14221452659573885
2020-05-20,0.14363895812367056
2020-05-26,0.1369625658446143
2020-07-21,0.13455903196937125
2020-08-07,0.12277754362730908
2020-10-08,0.13424568736259745
2020-11-11,0.12866951409901217
2020-11-13,0.11209845972251276
2020-12-10,0.10068896023804408
2020-12-14,0.12076243230859163
2021-01-07,0.14721306739264284
2021-02-04,0.11816060729907707
2021-03-18,0.10256924790290367
2021-06-08,0.10160330491802894
2021-09-02,0.15203654818468193
2021-10-19,0.10198878755017082
2022-03-18,0.16392449237922224
2022-06-08,0.1167460842752277
2022-07-15,0.10614809539903791
2022-08-05,0.10104900751556856
2023-01-04,0.12972753643770418
2023-01-06,0.1105989223727728
2023-02-01,0.14480829297845976
2023-05-08,0.11670582940406815
2023-07-13,0.16884412169438412
2023-07-26,0.10424019243213567
2023-09-05,0.11285717435312614
2023-12-06,0.13355092045510242
2024-02-12,0.17197941830922803
2024-05-03,0.10659139228932601
2024-05-07,0.10341427879772414
2024-07-11,0.10442313988150875
2024-07-15,0.13919251547207545
2024-08-21,0.10238249845674119
2024-08-23,0.134865577133235
2024-10-18,0.10703264845034055
2024-10-28,0.1260924954193896
