date,ticker,side,ret,type
2011-06-30,ANH,long,0.09691572454741149,rebalance_exit
2011-06-30,WL,long,-0.024981938220939415,rebalance_exit
2011-06-30,CHRS1,long,-0.04247790937373408,rebalance_exit
2011-09-30,MRH,long,0.011960580466932935,rebalance_exit
2011-09-30,ANN,long,-0.2380974055604419,rebalance_exit
2011-09-30,CETV,long,-0.6067237016127236,rebalance_exit
2011-09-30,GSKNF,long,0.021237755270039127,rebalance_exit
2011-12-30,AMR_old,long,-0.9353855905448852,rebalance_exit
2011-12-30,CBL_old,long,0.39244720384647724,rebalance_exit
2011-12-30,CBLAQ,long,0.3924462440613572,rebalance_exit
2011-12-30,USG_old,long,0.49174455486440016,rebalance_exit
2011-12-30,CHRS1,long,0.860795057431911,rebalance_exit
2012-03-30,PJC,long,-0.35747149050421456,rebalance_exit
2012-03-30,SFYWQ,long,-0.32316551223446044,rebalance_exit
2012-03-30,LEAP_old,long,-0.441578230365974,rebalance_exit
2012-03-30,NAVG,long,-0.08652958889092854,rebalance_exit
2012-03-30,JAH,long,0.18791857614896101,rebalance_exit
2012-03-30,PL_old,long,0.27974999389986777,rebalance_exit
2012-03-30,PVAHQ,long,-0.22139409382004427,rebalance_exit
2012-03-30,PVA,long,-0.2046416896341675,rebalance_exit
2012-03-30,DYN_old,long,-0.8027998864607347,rebalance_exit
2012-06-29,KWKAQ,long,-0.2956898961543303,rebalance_exit
2012-06-29,KWK,long,-0.2956898961543303,rebalance_exit
2012-06-29,SEH,long,0.09302326753619039,rebalance_exit
2012-06-29,PQ,long,-0.10952450311795614,rebalance_exit
2012-06-29,ZQK,long,-0.43005223423263406,rebalance_exit
2012-06-29,SIGM,long,0.22836164027828287,rebalance_exit
2012-06-29,ATPG,long,-0.5589857326373915,rebalance_exit
2012-06-29,AEPI,long,0.2510765720203194,rebalance_exit
2012-06-29,WOLF_old1,long,0.3562430850684961,rebalance_exit
2012-06-29,AOL,long,0.4508359420922423,rebalance_exit
2012-06-29,GSKNF,long,-0.5234620520432032,rebalance_exit
2012-06-29,ALSK,long,-0.31840415497560304,rebalance_exit
2012-06-29,ZQKSQ,long,-0.43005223423263406,rebalance_exit
2012-06-29,UDRL,long,-0.20438340670382593,rebalance_exit
2012-06-29,ABCD,long,-0.6529669917272425,rebalance_exit
2012-09-28,NPBC,long,0.04401451111328436,rebalance_exit
2012-09-28,ANAD,long,-0.4146748539177789,rebalance_exit
2012-09-28,PACR,long,-0.3737107379529033,rebalance_exit
2012-09-28,SSI,long,0.28991132599488356,rebalance_exit
2012-09-28,CBNJ,long,0.16063695646566423,rebalance_exit
2012-09-28,CSGS,long,0.47165281254375846,rebalance_exit
2012-09-28,YCB,long,0.04087614667068884,rebalance_exit
2012-09-28,MTSN,long,-0.4532568289832377,rebalance_exit
2012-09-28,PCXCQ,long,-0.9076766775538581,rebalance_exit
2012-09-28,SPTN,long,-0.15121606540016375,rebalance_exit
2012-12-31,DEST,long,0.33729367465160687,rebalance_exit
2012-12-31,DESTQ,long,0.3373103319360473,rebalance_exit
2012-12-31,GDPM,long,-0.5186979865579331,rebalance_exit
2012-12-31,CMLSW,long,-0.26345611169822714,rebalance_exit
2012-12-31,RSYS,long,-0.5992304259938093,rebalance_exit
2012-12-31,VVI,long,0.40647820623754183,rebalance_exit
2012-12-31,SUNH,long,0.2441520524911256,rebalance_exit
2012-12-31,SJI,long,-0.001969445206789322,rebalance_exit
2012-12-31,PVAHQ,long,-0.4042412631394581,rebalance_exit
2012-12-31,PVA,long,-0.4042412631394581,rebalance_exit
2012-12-31,OSGIQ,long,-0.9250985046724163,rebalance_exit
2012-12-31,PHX,long,-0.06044075770060209,rebalance_exit
2012-12-31,ACI_old,long,0.15639814532188856,rebalance_exit
2012-12-31,ARC,long,-0.4046444413986403,rebalance_exit
2012-12-31,UCFC,long,-0.18154609794025023,rebalance_exit
2012-12-31,SEH,long,0.6881971940095177,rebalance_exit
2012-12-31,UDRL,long,0.009140702340938667,rebalance_exit
2013-03-28,ZEUS,long,-0.005367522762787846,rebalance_exit
2013-03-28,TVTY,long,0.6401569624402295,rebalance_exit
2013-03-28,METR,long,0.40423400693846623,rebalance_exit
2013-03-28,HEES,long,0.6569320336248692,rebalance_exit
2013-03-28,PKY1,long,0.7532722904006535,rebalance_exit
2013-03-28,RNWK,long,-0.23172254413705484,rebalance_exit
2013-03-28,HDNG,long,0.44673238741865684,rebalance_exit
2013-03-28,SUP,long,0.005624871352988503,rebalance_exit
2013-03-28,LBY,long,0.17500578396949207,rebalance_exit
2013-03-28,CKEC,long,0.27913965307114563,rebalance_exit
2013-03-28,ANAT,long,0.2444473595522536,rebalance_exit
2013-03-28,SSUP,long,0.005624871352988503,rebalance_exit
2013-03-28,CECO_old,long,-0.718796532344594,rebalance_exit
2013-03-28,FUR,long,0.1474070333052553,rebalance_exit
2013-03-28,CTB,long,0.7076644418611342,rebalance_exit
2013-03-28,TEN_old,long,-0.07854741908239593,rebalance_exit
2013-03-28,NAV,long,0.2166931419523328,rebalance_exit
2013-03-28,OME,long,0.43252411562081483,rebalance_exit
2013-03-28,PDCE,long,1.0215381123277214,rebalance_exit
2013-03-28,GMXRQ,long,-0.7977273669568813,rebalance_exit
2013-03-28,GCAP,long,-0.07930732448461064,rebalance_exit
2013-03-28,JAH,long,1.2936987637437016,rebalance_exit
2013-03-28,SIMG,long,0.16974500878286536,rebalance_exit
2013-03-28,GEGSQ,long,-0.5996731873370125,rebalance_exit
2013-03-28,EXH,long,1.108437343292989,rebalance_exit
2013-03-28,AMRI,long,2.0099833584448956,rebalance_exit
2013-03-28,ZQK,long,0.8110464497072947,rebalance_exit
2013-03-28,ZQKSQ,long,0.8110464497072947,rebalance_exit
2013-03-28,CAS_old1,long,0.40112092239320485,rebalance_exit
2013-03-28,BTH,long,-0.3435022177568592,rebalance_exit
2013-03-28,SBFC,long,0.23493973065710105,rebalance_exit
2013-03-28,NPBC,long,0.13749960075691114,rebalance_exit
2013-03-28,NIHDQ,long,-0.40604805467441063,rebalance_exit
2013-03-28,FDNHQ,long,0.5217391619835552,rebalance_exit
2013-03-28,ACTV_old1,long,-0.14663947302791402,rebalance_exit
2013-03-28,ANAD,long,-0.2235190043922861,rebalance_exit
