date,ticker,ret,type,entry_date
2011-01-03,AACC,-0.13986010792053138,hold_period_exit,2010-01-04
2011-01-03,AAIC,0.7046625112043905,hold_period_exit,2010-01-04
2011-01-03,AAU,3.6184311927051303,hold_period_exit,2010-01-04
2011-01-03,ABCD,-0.16390958805270794,hold_period_exit,2010-01-04
2011-01-03,AAWW,0.4612427039777989,hold_period_exit,2010-01-04
2011-01-03,ABVT,-0.007247832884318073,hold_period_exit,2010-01-04
2011-01-03,ABMD,0.11148085139232178,hold_period_exit,2010-01-04
2011-01-03,ACCL_old,0.4464670199650145,hold_period_exit,2010-01-04
2011-01-03,ACFND,-0.4246655919136809,hold_period_exit,2010-01-04
2011-01-03,ACHN_old,0.2920605824414386,hold_period_exit,2010-01-04
2011-01-03,ACI_old,0.5161839523030864,hold_period_exit,2010-01-04
2011-01-03,ACIIQ,0.5161839523030864,hold_period_exit,2010-01-04
2011-01-03,ACTA,1.0951686163126162,hold_period_exit,2010-01-04
2011-01-03,ACY,-0.761665646763361,hold_period_exit,2010-01-04
2011-01-03,ACXM,0.27176231522607663,hold_period_exit,2010-01-04
2011-01-03,ADEP,0.31988478141925736,hold_period_exit,2010-01-04
2011-01-03,ADY,-0.5130828171818531,hold_period_exit,2010-01-04
2011-01-03,AEC_old,0.37964608457075033,hold_period_exit,2010-01-04
2011-01-03,AEGN,0.20715764406615156,hold_period_exit,2010-01-04
2011-01-03,AEPI,-0.33017815150610486,hold_period_exit,2010-01-04
2011-01-03,AERO_old,-0.5023722990435131,hold_period_exit,2010-01-04
2011-01-03,AFAM,-0.02000544348345057,hold_period_exit,2010-01-04
2011-01-03,AEL,0.7009486697232457,hold_period_exit,2010-01-04
2011-01-03,AF,0.20627807790093455,hold_period_exit,2010-01-04
2011-01-03,AGP,0.6110387378118218,hold_period_exit,2010-01-04
2011-01-03,AHCI,-0.16124134594584705,hold_period_exit,2010-01-04
2011-01-03,AHGP,0.8469793052405121,hold_period_exit,2010-01-04
2011-01-03,AI_old1,0.5608989436858969,hold_period_exit,2010-01-04
2011-01-03,AIMC,0.640664528153535,hold_period_exit,2010-01-04
2011-01-03,AIMCV,0.6406587887408799,hold_period_exit,2010-01-04
2011-01-03,AIQ_old,-0.23163310989240837,hold_period_exit,2010-01-04
2011-01-03,AIRM,0.6432044390000671,hold_period_exit,2010-01-04
2011-01-03,AJRD,-0.26828593807597445,hold_period_exit,2010-01-04
2011-01-03,ALJ,-0.15924337375006048,hold_period_exit,2010-01-04
2011-01-03,ALOG,0.3078482346627269,hold_period_exit,2010-01-04
2011-01-03,ALR,0.9135134220123291,hold_period_exit,2010-01-04
2011-01-03,ALTI_old,-0.26895643032203487,hold_period_exit,2010-01-04
2011-01-03,ALTE,0.12432098551454573,hold_period_exit,2010-01-04
2011-01-03,ALY,0.6903911185416565,hold_period_exit,2010-01-04
2011-01-03,ALXA,-0.49402388900140526,hold_period_exit,2010-01-04
2011-01-03,AMAR,-0.542700213226875,hold_period_exit,2010-01-04
2011-01-03,AMCO,0.10997665586843297,hold_period_exit,2010-01-04
2011-01-03,AMLN,0.016351186232514747,hold_period_exit,2010-01-04
2011-01-03,AMED,-0.30959440733013,hold_period_exit,2010-01-04
2011-01-03,AMNL,0.1293707228902914,hold_period_exit,2010-01-04
2011-01-03,AMOT,1.8683149614852228,hold_period_exit,2010-01-04
2011-01-03,AMPLQ,-0.17241378056708045,hold_period_exit,2010-01-04
2011-01-03,AMR_old,0.025906767304554323,hold_period_exit,2010-01-04
2011-01-03,AMSWA,0.2118875304959802,hold_period_exit,2010-01-04
2011-01-03,ANCX,0.11588585733862189,hold_period_exit,2010-01-04
2011-01-03,ANEN,0.4124504765354977,hold_period_exit,2010-01-04
2011-01-03,ANH,0.13713770976520734,hold_period_exit,2010-01-04
2011-01-03,ANR,0.32136720548408326,hold_period_exit,2010-01-04
2011-01-03,ANRZ,0.32136720548408326,hold_period_exit,2010-01-04
2011-01-03,ANW,-0.6355610591801899,hold_period_exit,2010-01-04
2011-01-03,ANWWQ,-0.6364565148719841,hold_period_exit,2010-01-04
2011-01-03,AOBC,-0.10254296880086833,hold_period_exit,2010-01-04
2011-01-03,APEX,0.1399195717603443,hold_period_exit,2010-01-04
2011-01-03,APFC,-0.18555385819869963,hold_period_exit,2010-01-04
2011-01-03,AOI,0.6666667461395264,hold_period_exit,2010-01-04
2011-01-03,APL,1.4315195303589818,hold_period_exit,2010-01-04
2011-01-03,APLP,0.2987625287418867,hold_period_exit,2010-01-04
2011-01-03,APPCQ,-0.46527872505059586,hold_period_exit,2010-01-04
2011-01-03,ARBA,0.8313909500958816,hold_period_exit,2010-01-04
2011-01-03,ARC,0.0666632195551351,hold_period_exit,2010-01-04
2011-01-03,ARCW,0.16828460722091454,hold_period_exit,2010-01-04
2011-01-03,ARCH,0.516184504169688,hold_period_exit,2010-01-04
2011-01-03,ARDM,0.09899000570879468,hold_period_exit,2010-01-04
2011-01-03,ARDMQ,0.1000000460958077,hold_period_exit,2010-01-04
2011-01-03,ARII,1.02879826911543,hold_period_exit,2010-01-04
2011-01-03,ARIA,1.1107791878044515,hold_period_exit,2010-01-04
2011-01-03,ARQL,0.5508297017957446,hold_period_exit,2010-01-04
2011-01-03,ARTC_old,0.29330412878961964,hold_period_exit,2010-01-04
2011-01-03,ARTG,0.2458332992540051,hold_period_exit,2010-01-04
2011-01-03,ARTX,-0.0514285070236008,hold_period_exit,2010-01-04
2011-01-03,ASFI,0.23749043558225313,hold_period_exit,2010-01-04
2011-01-03,ASI,0.4775984336284722,hold_period_exit,2010-01-04
2011-01-03,ASTX_old1,-0.014492737628206243,hold_period_exit,2010-01-04
2011-01-03,ATMI,0.05731370673819125,hold_period_exit,2010-01-04
2011-01-03,ATNY,-0.10720881672182658,hold_period_exit,2010-01-04
2011-01-03,ATPG,-0.13348097398092196,hold_period_exit,2010-01-04
2011-01-03,ATRI,0.27940251432099616,hold_period_exit,2010-01-04
2011-01-03,ATS_old,-0.07418960332870483,hold_period_exit,2010-01-04
2011-01-03,ATSC_old,0.14285712337816303,hold_period_exit,2010-01-04
2011-01-03,ATTU,1.7777779343170854,hold_period_exit,2010-01-04
2011-01-03,ATSG,1.8714285928506262,hold_period_exit,2010-01-04
