date,ticker
2010-01-04,AVTA
2010-01-04,AVTA
2010-01-04,AXN
2010-01-04,AXN
2010-01-04,AXN
2010-01-04,AXE
2010-01-04,BARI
2010-01-04,BARI
2010-01-04,BARI
2010-01-04,BASI
2010-01-04,BASI
2010-01-04,B_old
2010-01-04,B_old
2010-01-04,B_old
2010-01-04,BBBB
2010-01-04,BBLUQ
2010-01-04,BBLUQ
2010-01-04,BBLUQ
2010-01-04,BBNK
2010-01-04,BBOX
2010-01-04,BBQ
2010-01-04,BBQ
2010-01-04,BCAR_old
2010-01-04,BCSI
2010-01-04,BCSI
2010-01-04,BCSI
2010-01-04,BCSI
2010-01-04,BCOM
2010-01-04,BHLB
2010-01-04,BIOC1
2010-01-04,BIOC1
2010-01-04,BIOC1
2010-01-04,BIOC1
2010-01-04,BIOC1
2010-01-04,BIRT
2010-01-04,BKMU
2010-01-04,BKS
2010-01-04,BKS
2010-01-04,BKS
2010-01-04,BKS
2010-01-04,BKS
2010-01-04,BKS
2010-01-04,BLT
2010-01-04,BLT
2010-01-04,BLUD
2010-01-04,BLUD
2010-01-04,BLUD
2010-01-04,BMTI
2010-01-04,BMTI
2010-01-04,BNE_old
2010-01-04,BMTC
2010-01-04,BMTC
2010-01-04,BMTC
2010-01-04,BMTC
2010-01-04,BNHN
2010-01-04,BNHN
2010-01-04,BNHN
2010-01-04,BNHN
2010-01-04,BOBS_old
2010-01-04,BOBS_old
2010-01-04,BONT
2010-01-04,BONT
2010-01-04,BONT
2010-01-04,BOFI
2010-01-04,BOFI
2010-01-04,BOOT1
2010-01-04,BOOT1
2010-01-04,BOOT1
2010-01-04,BOOT1
2010-01-04,BPFH
2010-01-04,BPFH
2010-01-04,BPFH
2010-01-04,BPFH
2010-01-04,BPFH
2010-01-04,BPL
2010-01-04,BPZ
2010-01-04,BPZ
2010-01-04,BPZ
2010-01-04,BPZ
2010-01-04,BPZ
2010-01-04,BPZ
2010-01-04,BPZRQ
2010-01-04,BPZRQ
2010-01-04,BPZRQ
2010-01-04,BPZRQ
2010-01-04,BPZRQ
2010-01-04,BPZRQ
2010-01-04,BRCD
2010-01-04,BRLI_old
2010-01-04,BRKL_old
2010-01-04,BSF
2010-01-04,BSTC
2010-01-04,BTH
2010-01-04,BTUI
2010-01-04,BTUI
2010-01-04,BVSN
