date,ticker,ret,side
2014-06-24,DWOG,0.09420651795311913,short
2017-06-26,GOGL_old,-0.3232303687331613,short
2018-06-25,ZYXIQ,0.05740548275533555,short
2018-09-24,LAAC,-0.016120199729724633,short
2018-09-24,PLM,-0.024907894372667768,short
2019-03-26,OASMY,0.39325493188669486,short
2021-03-24,DTRCD,-0.5357173500076727,short
2021-06-24,AVO_old,-0.45893764053888036,short
2022-12-22,CXKJ,-0.19254660569592727,short
2023-12-22,AVPTW,-0.6704948845960113,short
2024-03-25,AHI,0.40070870421765986,short
2024-06-25,ARCH_old,-0.4920165442094755,short
2024-09-24,CIFRW,0.19427237409832826,short
2025-06-26,CMPOW,-0.43229275155917923,short
2025-12-22,USARW,0.5484375966153353,short
