date,ticker,ret,gross_ret,type,cost
2010-11-01,SFG,0.10661907798137582,0.10885352225888667,sector_crash_overlay_exit,315814.53634085215
2010-12-31,BNE_old,0.014121787157062471,0.014121787157062249,rebalance_exit,526357.5605680869
2010-12-31,TECD,0.09097047466961006,0.09230772434561607,rebalance_exit,526357.5605680869
2010-12-31,PSYS1,0.0041579270013902825,0.0041579270013902825,rebalance_exit,526357.5605680869
2010-12-31,AXE,0.16033308771869192,0.16033308771869215,rebalance_exit,526357.5605680869
2010-12-31,ANH,0.04316475879129311,0.04462633391908266,rebalance_exit,526357.5605680869
2010-12-31,SFG,0.20109018592032823,0.20646868111383565,rebalance_exit,210543.02422723477
2010-12-31,LIA,-0.05413586634940004,-0.05413586634940004,rebalance_exit,526357.5605680869
2010-12-31,OMI,0.04059554401664944,0.04059554401664944,rebalance_exit,526357.5605680869
2010-12-31,KNX1,-0.024991288539715106,-0.022363325475201146,rebalance_exit,526357.5605680869
2011-03-31,CNL_old1,0.1576637388243507,0.1576637388243507,rebalance_exit,526357.5605680869
2011-03-31,VGR,-0.0339083012581296,-0.03363065993915426,rebalance_exit,526357.5605680869
2011-03-31,PTP,-0.12477022628815493,-0.12477022628815493,rebalance_exit,526357.5605680869
2011-03-31,SJI,0.1683292212909171,0.16832922129091732,rebalance_exit,526357.5605680869
2011-03-31,MRH,0.03148046381579506,0.03148046381579528,rebalance_exit,526357.5605680869
2011-03-31,NAVG,0.14528754729575266,0.14528754729575266,rebalance_exit,174531.6759375
2011-03-31,UIL,0.031052055647466492,0.031052055647466492,rebalance_exit,1175545.3307888322
2011-03-31,LANC,0.06328904416424574,0.06575291178298648,rebalance_exit,466985.2225
2011-03-31,LSI,0.0840845970963684,0.0840845970963684,rebalance_exit,687904.46
2011-06-30,NSH_old,0.06132081200873962,0.06132081200873962,rebalance_exit,317639.73250000004
2011-06-30,PCH,0.1047351226657014,0.10905899953376275,rebalance_exit,1005845.1175000002
2011-06-30,AAI,-0.006279392827262198,-0.006279392827262309,rebalance_exit,1707032.9500000002
2011-06-30,VWTR,-0.0420596356093923,-0.035260799803600085,rebalance_exit,211486.29218750002
2011-08-04,WGL,0.037694903370735444,0.042868136516737376,crash_overlay_exit,315814.53634085215
2011-08-04,COL,-0.11985763066837263,-0.11985763066837263,crash_overlay_exit,315814.53634085215
2011-08-04,CHG,0.173299648468346,0.1784861653497951,crash_overlay_exit,103536.7749375
2011-08-04,ELNK,-0.08272224644871107,-0.08272224644871118,crash_overlay_exit,705327.1984732993
2011-08-04,CMO,0.006323904414879511,0.011796941892559198,crash_overlay_exit,714357.2235
2011-08-04,UNS,-0.06923563809846844,-0.06842267973940108,crash_overlay_exit,280788.1725245044
2011-08-04,ANH,-0.050481609593876264,-0.05048160959387604,crash_overlay_exit,280788.1725245044
2011-08-04,UIL,-0.043113276245296484,-0.0384070451658064,crash_overlay_exit,280788.1725245044
2011-08-04,SJI,-0.11533646978500045,-0.10752785030217138,crash_overlay_exit,280788.1725245044
2011-08-04,KDN,-0.12272092116538869,-0.12272092116538857,crash_overlay_exit,280788.1725245044
2011-08-04,PSSI,-0.18435377160884847,-0.1840269727554349,crash_overlay_exit,280788.1725245044
2011-08-04,MPW,-0.08909640258967344,-0.08909640258967333,crash_overlay_exit,280788.1725245044
2011-08-04,PL_old,-0.15949791792743595,-0.15391265002641674,crash_overlay_exit,280788.1725245044
2011-08-04,CEC,-0.10919930109001508,-0.10919930109001519,crash_overlay_exit,262408.67925
2011-08-04,IBKC,-0.1465247840079711,-0.1328927748062272,crash_overlay_exit,280788.1725245044
2011-08-04,HI,-0.1525458472991469,-0.13953414045425927,crash_overlay_exit,280788.1725245044
2011-08-04,LSI,-0.0519590428660337,-0.04870872285366845,crash_overlay_exit,280788.1725245044
2011-08-04,IRC,-0.11929544246453505,-0.11929544246453516,crash_overlay_exit,233956.75950000001
2011-08-04,VGR,-0.054669139591861926,-0.04928527207836231,crash_overlay_exit,280788.1725245044
2011-08-04,ENH,-0.07273631756483256,-0.07273631756483245,crash_overlay_exit,280788.1725245044
2011-08-04,MPW,-0.08909640258967311,-0.08909640258967333,sector_crash_overlay_exit,112315.26900980175
2011-08-04,IBKC,-0.14652478400797087,-0.1328927748062272,sector_crash_overlay_exit,112315.26900980175
2011-08-17,MPW,-0.11369348772934929,-0.10898831536295883,sector_crash_overlay_exit,44926.107603920704
2011-08-17,IBKC,-0.19642274907554802,-0.19587162507471745,sector_crash_overlay_exit,44926.107603920704
2011-08-19,MPW,-0.16312360572309026,-0.15836821168974513,sector_crash_overlay_exit,17970.443041568284
