date,net_beta_dollar
2011-08-08,2616557.988573945
2011-08-09,2966993.640632853
2011-08-10,3543432.551475588
2011-08-11,3903310.451613632
2011-08-12,3898096.12697706
2011-08-15,4282453.575744844
2011-08-16,4553570.145240871
2011-08-17,4798159.911661893
2011-08-18,4345915.869897772
2011-08-19,4890440.270431669
2011-08-22,4548042.457246785
2011-08-23,4782286.506426158
2011-08-24,4729208.592929564
2011-08-25,4503774.712771577
2011-08-26,4540527.713296308
2011-08-29,4740163.925277087
2011-08-30,4975526.749779524
2011-08-31,4951011.684422269
2011-09-01,4837613.522868799
2011-09-02,4563318.362758649
2011-09-06,4426135.942710406
2011-09-07,4753628.43187784
2011-09-08,4881736.503888506
2011-09-09,4815669.994210677
2011-09-12,4761589.9141503405
2011-09-13,5139336.386788119
2011-09-14,5258028.951219826
2011-09-15,5243683.2045073155
2011-09-16,5209007.461122157
2011-09-19,4982008.0962660825
2011-09-20,4914432.301747156
2011-09-21,4717020.315808535
2011-09-22,4152792.477552334
2011-09-23,4324740.752463532
2011-09-26,4418494.211186008
2011-09-27,4553722.967971426
2011-09-28,4356815.635292228
2011-09-29,4116039.602636113
2011-09-30,1390149.8044612445
2011-10-03,988366.0783582404
2011-10-04,1190702.1331261117
2011-10-05,1162678.0092531666
2011-10-06,1125922.5364417117
2011-10-07,1184258.922143476
2011-10-10,1258555.558308158
2011-10-11,1346733.1372395866
2011-10-12,1815482.0374120716
2011-10-13,1907259.1448105946
2011-10-14,2100640.6086144354
2011-10-17,2231999.538535595
2011-10-18,2401749.2464354113
2011-10-19,2320955.2642425653
2011-10-20,2313830.5025696754
2011-10-21,2502405.4040924106
2011-10-24,2485401.8392246105
2011-10-25,2355475.6611546706
2011-10-26,2512180.6960296277
2011-10-27,2732021.0248674285
2011-10-28,2322757.1631962694
2011-10-31,1961063.800171109
2011-11-01,2198573.576048203
2011-11-02,2165411.9539022576
2011-11-03,2248726.285915153
2011-11-04,2237073.6605572607
2011-11-07,2144196.154816339
2011-11-08,2214337.290201932
2011-11-09,1955326.143350374
2011-11-10,2329587.4616582394
2011-11-11,2475107.168009553
2011-11-14,2488504.9550806526
2011-11-15,2426402.4191105925
2011-11-16,2339282.6567487326
2011-11-17,2190249.8994262926
2011-11-18,2145674.357696781
2011-11-21,1972981.1999374125
2011-11-22,1788706.8758040871
2011-11-23,1706348.1775173414
2011-11-25,1566515.755051192
2011-11-28,1728533.2693321314
2011-11-29,1473601.816525802
2011-11-30,1710140.5966664199
2011-12-01,2317364.8763232008
2011-12-02,2578223.7198150456
2011-12-05,2665060.3374976367
2011-12-06,2842359.6484354865
2011-12-07,2953673.494077543
2011-12-08,2649477.47929438
2011-12-09,2897349.443403231
2011-12-12,2611976.0600150637
2011-12-13,2186000.814890716
2011-12-14,1914683.2056297585
2011-12-15,1913759.521984782
2011-12-16,1934626.496426262
2011-12-19,1785217.6580195483
2011-12-20,2107122.208955601
2011-12-21,2394521.514988469
2011-12-22,2517942.50758991
2011-12-23,2597842.7066485994
2011-12-27,2595233.88826441
2011-12-28,2492387.1037072036
2011-12-29,2699868.6627661213
2011-12-30,1733276.4186974932
2012-01-03,2012171.2015943732
2012-01-04,1856383.6094943415
2012-01-05,1853387.596894849
2012-01-06,1793734.2219589818
2012-01-09,1810291.9079531077
2012-01-10,1938981.9877913594
2012-01-11,1766437.4258059375
2012-01-12,1720808.8429388478
2012-01-13,1743674.913242422
2012-01-17,1873010.6679674312
2012-01-18,1862385.5643617623
2012-01-19,1577599.170862671
2012-01-20,1579342.576539524
2012-01-23,1663618.6963757928
2012-01-24,1616014.506079642
2012-01-25,1593242.1234864686
2012-01-26,1355332.4602439292
2012-01-27,1368392.109441325
2012-01-30,1375054.1327693928
2012-01-31,1372987.6079627927
2012-02-01,1161675.9692106582
2012-02-02,988391.4286933988
2012-02-03,984787.614292685
2012-02-06,945905.5198775232
2012-02-07,1037612.2728804313
2012-02-08,1210945.9941903483
2012-02-09,1293307.4358329345
2012-02-10,1544243.399712909
2012-02-13,1673080.2917680442
2012-02-14,1931791.8713147882
2012-02-15,1949252.0329928081
2012-02-16,2152012.3258686736
2012-02-17,2342343.4595876206
2012-02-21,2371817.8968161736
2012-02-22,2363632.840074165
2012-02-23,2156377.7758073024
2012-02-24,2228480.034210736
2012-02-27,2256289.0900917016
2012-02-28,2310734.484445207
2012-02-29,2315026.0352921784
2012-03-01,2414463.8134376295
2012-03-02,2319044.7427630946
2012-03-05,2383772.6961434204
2012-03-06,2343731.071389813
2012-03-07,2493119.4241534118
2012-03-08,2519881.480263872
2012-03-09,2638835.2197587453
2012-03-12,2429114.2353015207
2012-03-13,2686358.8115407024
2012-03-14,2686629.9261218123
2012-03-15,2801953.691444736
2012-03-16,2836387.161351191
2012-03-19,2904718.4048074707
2012-03-20,2716493.0280012265
2012-03-21,2596366.1239212397
2012-03-22,2406498.2056537718
2012-03-23,2696327.4304738883
2012-03-26,2642647.90234478
2012-03-27,2515686.736802006
2012-03-28,2340610.558399778
2012-03-29,2338246.4434045926
2012-03-30,-2323514.6003708635
2012-04-02,-2280077.9881968945
2012-04-03,-2342994.9493668694
2012-04-04,-2186809.2154514585
2012-04-05,-2183376.279583197
2012-04-09,-1985820.7555754874
2012-04-10,-2082074.1228738688
2012-04-11,-2190738.8357832655
2012-04-12,-2151566.143879365
2012-04-13,-2036610.9789074939
2012-04-16,-2065997.2331447303
2012-04-17,-2187127.8108776994
2012-04-18,-2222818.5661068764
2012-04-19,-2433985.6530438177
2012-04-20,-2271976.206150392
2012-04-23,-2404429.8559989445
2012-04-24,-2391799.1712193433
2012-04-25,-2283791.09631774
2012-04-26,-2166339.566229321
2012-04-27,-2189928.473581275
2012-04-30,-2528532.2704033535
2012-05-01,-2142005.235883219
2012-05-02,-2246065.0549531113
2012-05-03,-2135273.176775746
2012-05-04,-1942499.3169896994
2012-05-07,-1841944.6178963147
2012-05-08,-2001173.1729664672
2012-05-09,-2063152.321371179
2012-05-10,-2050575.8707694802
2012-05-11,-2208364.489036452
2012-05-14,-2909843.572660419
2012-05-15,-2736647.498007588
2012-05-16,-2494993.3857411454
2012-05-17,-2420679.8462311234
2012-05-18,-2417906.05438246
2012-05-21,-2578766.841290393
2012-05-22,-2606094.1278732307
2012-05-23,-2539223.2867335575
2012-05-24,-2655145.4304787144
2012-05-25,-2692197.5322876684
2012-05-29,-2341202.7083513644
2012-05-30,-2293774.4706566343
2012-05-31,-1857286.7770639546
2012-06-01,-1976604.86142392
2012-06-04,-1613937.4004603336
2012-06-05,-1718162.8941325014
2012-06-06,-1696120.507573465
2012-06-07,-1576314.622420648
2012-06-08,-1662407.0971988253
2012-06-11,-1697215.328372471
2012-06-12,-1692901.2485238332
2012-06-13,-1822685.9988612495
2012-06-14,-1741573.0213341555
2012-06-15,-1666482.7373876832
2012-06-18,-1786785.22428957
2012-06-19,-1715705.8496022876
2012-06-20,-1740430.8676092084
2012-06-21,-1535655.318219848
2012-06-22,-1682664.3053657925
2012-06-25,-1661008.2685399177
2012-06-26,-1698605.843950523
2012-06-27,-1661485.5592533275
2012-06-28,-1543703.5348224659
2012-06-29,1873994.8331824895
2012-07-02,1836991.5905581564
2012-07-03,2090933.9458295275
2012-07-05,2190159.0739209857
2012-07-06,2104948.780526573
2012-07-09,1743141.7951841243
2012-07-10,1343028.3773032036
2012-07-11,1547561.5395090412
2012-07-12,1442062.904401116
2012-07-13,1394678.4409210626
2012-07-16,1197877.4943651576
2012-07-17,1213822.8044639528
2012-07-18,1170270.6965510119
2012-07-19,1152329.6532351915
2012-07-20,1289785.3268722873
2012-07-23,1208172.2079813555
2012-07-24,1004179.4777197223
2012-07-25,1053302.723382404
2012-07-26,1037166.6743700448
2012-07-27,1068353.1463604998
2012-07-30,1101959.6722395457
2012-07-31,1062277.1000963226
2012-08-01,1082645.1413362399
2012-08-02,968325.3503079396
2012-08-03,1102472.9452245235
2012-08-06,1153996.577326836
2012-08-07,1366831.7709320467
2012-08-08,1416151.1586067863
2012-08-09,1451600.250509277
2012-08-10,1469076.026085455
2012-08-13,1413155.9690748863
2012-08-14,1415591.2053027079
2012-08-15,1442242.837114131
2012-08-16,1417344.6605434418
2012-08-17,1351895.097617479
2012-08-20,1310046.129703978
2012-08-21,1316352.4353771582
2012-08-22,1975007.458516853
2012-08-23,1770381.0582494168
2012-08-24,1900174.184919511
2012-08-27,1907669.466944323
2012-08-28,1902583.6747095836
2012-08-29,1864833.7008427968
2012-08-30,1828275.9116702834
2012-08-31,1756390.122371314
2012-09-04,1709474.1619133716
2012-09-05,1832226.278094845
2012-09-06,1899039.9306403669
2012-09-07,1936880.391719142
2012-09-10,1940101.8650629334
2012-09-11,2030450.7916965764
2012-09-12,1934877.0900863744
2012-09-13,1991600.3919295743
2012-09-14,2030002.7059512269
2012-09-17,1902175.0840994027
2012-09-18,1820986.1054103654
2012-09-19,1771874.3951747306
2012-09-20,1740136.0558163654
2012-09-21,1757516.2060640063
2012-09-24,1751267.9088872839
2012-09-25,1643811.3005111497
2012-09-26,1635749.6767732855
2012-09-27,1733634.7809619699
2012-09-28,1921315.326547023
2012-10-01,1869857.1215202603
2012-10-02,1888737.2381454986
2012-10-03,1771659.5379272792
2012-10-04,1837271.6784851365
2012-10-05,1756585.7604294792
2012-10-08,1861338.8702910524
2012-10-09,1757312.6480904687
2012-10-10,1655929.8369536065
2012-10-11,1677395.3657831587
2012-10-12,1662864.719257906
2012-10-15,1467020.5413973406
2012-10-16,1491479.3108126838
2012-10-17,1536974.2050873768
2012-10-18,1433459.3294340707
2012-10-19,1339825.3799412176
2012-10-22,1288162.3894050922
2012-10-23,1228163.630838532
2012-10-24,1068172.81641707
2012-10-25,1038063.2799107097
2012-10-26,1662362.9253629725
2012-10-31,1717915.1703614881
2012-11-01,1785275.1811127402
2012-11-02,1894404.2632092172
2012-11-05,1909872.4271490397
2012-11-06,2207386.924451419
2012-11-07,2176177.7445773417
2012-11-08,1992258.8687635744
2012-11-09,2100902.851333215
2012-11-12,2146860.9606894804
2012-11-13,2212167.794184286
2012-11-14,2190239.2247735197
2012-11-15,2088758.0036594858
2012-11-16,2058009.6567211943
2012-11-19,2147357.8980830302
2012-11-20,2111139.624069416
2012-11-21,2215543.65253798
2012-11-23,2213649.5683304425
2012-11-26,2081970.5349664548
2012-11-27,2103015.578061385
2012-11-28,2088907.184055293
2012-11-29,2081490.2247803845
2012-11-30,2059900.8426390886
2012-12-03,2109435.82965267
