date,ticker,ret
2011-03-15,CEDCQ,0.4754797530679031
2011-04-27,FSIN,0.1325725967234957
2011-06-15,HEK,0.07473563658938238
2011-06-15,INFI,-0.1545454372059215
2011-06-15,INFIQ,-0.1545454372059215
2011-06-15,OCUP,0.10330146986531125
2011-06-15,PLFE,-0.0778046578635712
2011-06-15,RNN,0.10330146986531125
2011-06-15,SCLN,-0.24972048240189731
2011-06-21,EPL,0.1698645254991102
2011-06-21,LSCG,0.16562421108724082
2011-06-29,AMCO,0.43135708584504545
2011-06-29,CRZO,-0.09384450169051942
2011-06-29,ES_old,0.0946415876257406
2011-06-29,GIGL_old,-0.033536626363992336
2011-06-29,SASR,0.07023411394349986
2011-06-29,SOUM,0.6602265857008988
2011-06-29,ZAAP,0.4073500698353501
2011-07-07,CPGI,0.446984912453874
2011-07-07,ODP,-0.05489260523448837
2011-07-27,BREW_old,0.14591364606752524
2011-07-27,SATCQ,0.3753570053183535
2011-08-03,ESSX,0.2548435213748828
2011-08-10,ALQA,0.00862068168189925
2011-08-10,BPZ,0.2495520334241337
2011-08-10,BPZRQ,0.24930788042722493
2011-08-10,CFSG,-0.0996067505308518
2011-08-10,MEDQ,-0.14691944670257845
2011-08-29,ONCS,0.4919578559466058
2011-09-07,NPBC,-0.048728169659509143
2011-09-09,IBKC,0.19158298629104994
2011-09-28,KENT,0.3079799854288956
2011-09-30,BURG,-0.01520253035404551
2011-10-11,LLEN,0.43045940126748994
2011-10-24,HRZL,0.7585370043647489
2011-11-08,HOGS,-0.18705297826599548
2011-11-08,KNWND,0.5850012577237461
2011-11-08,LLEX,-1.25
2011-11-08,SCNB,0.010312938087411896
2011-11-08,SUBK,0.010312938087411896
2011-11-08,VPCO,0.2857142984867096
2011-11-15,CXDC,-0.0252233875539101
2011-11-15,EMAN,-0.36374565423943783
2011-11-15,FSNN,0.125
2011-11-15,GTATQ,0.21803768610826404
2011-11-15,TEUM,-0.043510483874621655
2011-11-30,CFSG,-0.047167099072078326
2011-11-30,SWS,-0.35822583201360314
2011-12-06,KNX1,-0.08086614412722996
2012-01-26,KNOL,-0.08383912295701529
2012-01-26,POTG,0.42391812683405844
2012-02-03,AVTA,-0.5068442403024414
2012-02-03,CVVT,0.09625447489370495
2012-02-09,PCTI,-0.07300213022277775
2012-02-09,SYMSQ,-0.33089135250238216
2012-03-02,RIVU,0.1666666716337204
2012-03-02,SVNTQ,0.10860762671604837
2012-03-07,TLAB,0.032280920751793056
2012-03-14,DMND,0.08347988345781986
2012-03-29,NHLD,0.04699986227800756
2012-05-21,CKP,0.3236402426154906
2012-06-14,CXS,0.08345432070504687
2012-06-27,CERP,0.656860318390196
2012-06-27,RFP,0.2023892658758296
2012-06-27,SWSH,-0.144367258109707
2012-07-02,GADS,0.06151956658431879
2012-07-02,PHMD,0.06151956658431879
2012-07-02,PKY1,-0.1693800614225646
2012-07-11,END,0.31233738877163686
2012-08-01,ALTI_old,0.34887408245489865
2012-08-01,DLGC,0.3757520735957431
2012-08-08,FPO,0.04281508624927028
2012-08-08,MATR,0.026190492019893662
2012-08-08,MFRI,0.041991177708665214
2012-08-08,PCXCQ,0.9648033117032229
2012-08-08,TUC,-0.06493939819758879
2012-08-15,CGI,-0.07114014905613368
2012-08-15,CGIPQ,-0.07114014905613368
2012-08-15,FCCND,0.5373134338980556
2012-08-15,IN,-0.07112457260737388
2012-08-22,OPHI,0.1879999796549479
2012-08-28,MHR,-0.2350576275757149
2012-09-12,ELRED,-0.8999999761581421
2012-09-12,WIBC,-0.2655174804338013
2012-09-19,BEES,0.01591890869844845
2012-09-26,HTM,0.09818012366666441
2012-11-30,CLSP,0.25074189054180507
2012-12-06,END,0.2819227547610796
2012-12-06,SIGM,0.0890695047879485
2012-12-13,BURG,-0.04
2013-01-29,BXG_old,-0.6376725828467336
2013-01-29,ENVE,0.06665416319689386
2013-02-01,RGRXD,0.2003624510041991
2013-03-15,ASFI,-0.013693156686035686
2013-03-15,CONN,-0.2435204735025876
2013-03-28,ISRL_old,0.046639084815979004
2013-04-18,TWGP,-0.03482944393301598
2013-06-12,GEENQ,-0.027058149051744865
2013-06-12,GQMNF,0.4162650523397473
2013-06-14,BDSI,-0.13198700522723117
2013-06-14,HNGR,-0.021442719659099278
2013-06-14,MXWL,-0.11336719011715833
2013-06-14,PCTI,-0.18457271761733712
2013-06-14,SQNM,-0.04194548615425352
2013-06-14,TTS,-0.4155535005854905
2013-07-02,ALQA,-0.030769294253470136
2013-07-02,BOFI,-0.27830090437912547
2013-07-02,ERN,0.19058101463141838
2013-07-02,RLJE,-0.07537719320015521
2013-07-02,VYSTD,0.4545454680919647
2013-07-02,XXIA,-0.009435212473844106
2013-07-17,APEX,-0.006031704249327834
2013-07-17,CHKE,-0.006031704249327834
2013-07-30,BOBE,-0.1340203861200128
2013-07-30,CALL,0.09149557394416223
2013-07-30,IN,-0.018011132434796278
2013-07-30,MCP,-0.25837338191131515
2013-07-30,NTUS,-0.008876760062025566
2013-07-30,STEC_old,-0.8935575224903188
2013-07-30,STEC_old1,0.18551333913844587
2013-09-18,PENX,0.04548548459017834
2013-09-18,THR,-0.1319539833173711
2013-09-23,ARSD,-0.06019799473340422
2013-09-23,BKS,0.14010509045059769
2013-09-23,TREC,-0.060183123593541936
2013-10-01,GNMK,-0.23817272161484296
2013-10-01,ITMN,-0.5161468743996912
2013-11-05,GLUU,-0.4066453819337257
2013-11-05,NPTN,-0.09408192279261303
2013-11-11,FSNN,-0.5599999999999999
2013-11-11,GEGSQ,0.2173912879588533
2013-11-11,HGEN,0.3072752553144073
2013-11-11,IQNT,-0.6264899897672643
2013-11-11,KBIO,0.3072752553144073
2013-11-11,SAEX,0.24307872213632037
2013-11-11,TKLSD,-0.70351763249154
2013-12-17,RTI,-0.07705557553383457
2013-12-17,SSN,0.15213837499095223
2013-12-17,SSNYY,0.15213837499095223
