date,ticker,side,ret
2010-08-31,TCP,long,0.012727273503087888
2010-08-31,TIN,long,-0.12883833727181793
2010-08-31,NED,long,-0.3842356490730967
2010-09-30,ACC,long,0.06155436100808709
2010-09-30,PNY,long,0.09492963235417906
2010-09-30,DBD_old,long,0.0944524758084564
2010-09-30,DST,long,0.0915283059434091
2010-09-30,CTV1,long,0.15823444609355364
2010-09-30,MLHR,long,0.14568717635397244
2010-09-30,AGP,long,0.18732585447291084
2010-09-30,GAS1,long,0.046357587048532434
2010-09-30,FNRG,long,-0.015873102416992135
2010-09-30,JNS,long,0.03575475504917369
2010-09-30,HTS,long,-0.005642240171991886
2010-09-30,DBDQQ,long,0.09447582147118871
2010-09-30,QSFT,long,0.21372953210444767
2010-09-30,SPN,long,0.1616973073525254
2010-09-30,SPNX,long,0.16169714688948744
2010-09-30,EPAY,long,0.08398020987834287
2010-09-30,TPX,long,0.13660376210620906
2010-09-30,SDOC,long,0.40594056484430663
2010-10-29,SVR,long,0.35644876289847693
2010-10-29,AXAS,long,0.02931556001287472
2010-10-29,RVBD,long,0.5194056574506958
2010-10-29,NPSP,long,-0.10338340166508608
2010-10-29,BOFI,long,-0.1766965588414311
2010-10-29,CBLAQ,long,0.11034795360048566
2010-10-29,HME,long,0.07783939246225513
2010-10-29,ATW,long,0.18697419568608487
2010-10-29,SOA,long,0.2329484221989755
2010-10-29,ARST,long,0.7275041334818855
2010-10-29,ORIT,long,0.06837890655840884
2010-10-29,CV_old,long,-0.04946211781876919
2010-10-29,ATHR_old,long,0.1586267851225327
2010-10-29,CBL_old,long,0.11035278547496907
2010-10-29,GLG_old,long,0.014693174872058012
2010-10-29,PL_old,long,0.04845802103863939
2010-10-29,HOLI,long,0.27963207422147107
2010-10-29,KNWND,long,0.33654196343994647
2010-10-29,TECD,long,0.060965577695113904
2010-10-29,SIRO,long,0.031962439202308346
2010-10-29,NED,long,-0.26834624277511887
2010-10-29,ENH,long,0.03403284722155764
2010-11-30,CSE,long,0.1636641468198723
2010-11-30,BNE_old,long,0.015147127845015707
2010-11-30,BYI,long,0.20555674399551083
2010-11-30,ASNA,long,-0.020774003931255836
2010-11-30,OUTR,long,0.4019303222481285
