date,ticker,price,entry_price
2010-09-29,AFOP,3.9042,1.928058277113211
2010-10-28,KNWND,3990.0398,2024.6480646553694
2010-12-07,LKCO1,50.5,23.5
2011-01-11,TQNT,13.63,6.929999828338623
2011-02-15,LUFK,74.7789,37.850101470947266
2011-02-16,TNGN,28.45,25.842663079206535
2011-02-18,CLNH_old,28.571,11.428999900817871
2011-02-22,ATMS,375.0,215.0
2011-02-23,HS,36.75,18.89385247130257
2011-02-24,RTW,6.87,3.156477429681186
2011-03-01,SRZ,9.5404,4.704182713182895
2011-03-02,PTXTQ,11.09,6.069414671176186
2011-03-25,GLBL_old1,9.55,4.629852199096358
2011-04-04,ISTA,11.0,5.130000114440918
2011-04-05,CRDN,46.3715,22.85667861706145
2011-04-18,ANN,31.15,15.482829133500347
2011-04-25,GNOM2,15.11,7.498963975578501
2011-04-28,REDF,16.4,7.5
2011-05-11,FEIC,36.5675,18.7731990814209
2011-06-29,CPHD,34.07,16.860568151927303
2011-07-05,ESND,29.5554,14.861238202231762
2011-07-25,ATHN,2043.3,985.5511696859578
2011-11-08,MDVN,10.565,5.357500076293945
2011-12-06,RLH,6.92,0.7994197112633532
2011-12-20,LEAF,68.045,27.142935298640715
2012-01-25,ATMS,375.0,175.0
2012-01-30,CSUNY,2.35,1.1416370005984608
2012-01-30,CSUN,2.35,1.1416370005984608
2012-02-02,SWHC,5.24,2.5707567589894214
2012-02-02,AOBC,5.2241,2.5630036125542137
2012-02-10,SOL,14.8,7.662935929401102
2012-02-10,SOL_old,14.8,7.662935929401102
2012-02-17,CAB,33.42,15.602522911858637
2012-02-21,ARST,53.3333,23.100000381469727
2012-03-08,GCA,6.55,3.0044971963148157
2012-03-08,EVRI,6.55,3.0044971963148157
2012-03-12,ABK,2.03,0.578499972820282
2012-03-20,NQ,10.88,5.332535670667633
2012-03-20,LKM,10.88,5.332535670667633
2012-03-28,VELTF,13.73,6.800598148195288
2012-04-02,AOI,39.7,19.399999618530273
2012-04-12,PCNTD,70.8333,33.5
2012-04-13,ELLI,11.65,5.7599980977616285
2012-04-16,MFRM,45.38,22.136049487379726
2012-05-03,DGAS,17.9296,7.794083603828546
2012-05-11,TRAK_old,31.36,15.609999656677246
2012-05-14,TNGO,22.05,11.3100004196167
2012-06-08,RIVU,17.0,8.25882328092846
2012-06-14,NLNK,134.73,63.379867725045614
2012-06-14,LUMO,134.73,63.379867725045614
2012-06-27,CBM,8.71,4.409999847412109
2012-07-09,SYNC,17.34,7.559999942779541
2012-07-27,RAVN,29.5401,11.6496000289917
2012-08-08,SRNEQ,7.75,3.75
2012-09-17,LLFLQ,52.71,25.47712068249173
2012-09-17,LL,52.71,25.47712068249173
2012-09-21,CRAY,13.47,6.400000095367432
2012-10-04,CAMP_old,212.75,98.9000015258789
2012-10-04,CAMPQ,212.75,98.9000015258789
2012-10-25,PGTI,4.3,2.0590609403793816
2012-11-15,STEC_old1,23.0,11.528262382951977
2012-12-10,CIVI,1923.99,962.6048589280641
2013-01-02,SRDX,23.21,11.155039620471324
2013-01-04,BECN,34.74,17.059999465942383
2013-01-14,KATY,0.48,0.18000000715255737
2013-01-14,KATYQ,0.48,0.18000000715255737
2013-01-18,HEES,12.4218,5.975800037384033
2013-01-28,ZQK,6.56,3.119378694745393
2013-01-28,ZQKSQ,6.56,3.119378694745393
2013-02-07,HGSH,16.96,8.144898719342086
2013-02-11,HMST,23.0683,11.337400436401367
2013-02-11,PJC,38.1904,18.939699172973633
2013-02-13,PLKI,31.18,15.585097078968724
2013-02-14,FURX,36.16,17.790000915527344
2013-02-19,TLRA,31.45,16.469160558619578
2013-02-21,NTSP,15.82,7.409999847412109
2013-02-27,ABK,0.5327,0.5234000086784363
2013-02-28,AJRD,10.8583,5.4405157287857175
2013-02-28,FCCND,7.6,3.799999952316284
2013-03-07,BFX,7.08,3.4329376771865663
2013-03-07,BFXXQ,7.08,3.4330918163790427
2013-03-07,NLS,7.08,3.4330918163790427
2013-03-08,HPTX,23.38,10.860106675254693
2013-03-12,SEH,10.61,5.091162206372684
2013-03-15,OWW,5.71,2.752546363114285
2013-03-19,CLVS,27.62,14.279190108279721
2013-03-19,CLVSQ,27.62,14.279190108279721
2013-03-21,OMPI,19.75,9.430000305175781
2013-03-27,AXDX,85.1308,40.60235262766625
2013-03-27,AXDXQ,85.2,40.63532429675837
2013-03-27,POWR_old,12.39,5.989999771118164
2013-04-01,ARII,36.6441,19.15880012512207
2013-04-03,SOBRD,8.0,4.0
2013-04-09,SSI,17.7643,8.835174318899606
2013-04-11,CRRSQ,1.79,0.8500000238418579
2013-04-11,CRRS,1.79,0.8500000238418579
2013-04-22,ISIS,21.81,9.965473511489893
2013-04-26,AAMC,124.1176,48.23529815673828
2013-04-30,ACTS_old,3.37,1.647418807809863
2013-05-13,CLNH_old,34.0,15.71399974822998
2013-05-13,AVTA,18.01,9.139365454372474
2013-05-14,QCOR,42.4,18.469999313354492
2013-05-15,FHCO,8.0055,3.9726936944461255
2013-05-29,CVG,15.412,7.767368090376157
2013-05-31,ACETQ,11.7437,5.931300163269043
2013-06-12,AFOP,11.0569,5.717761002755799
2013-06-13,CTB,30.445,13.785667363445109
2013-06-18,USMD_old,35.01,11.81981981424873
2013-06-27,XONE_old,58.97,27.190000534057617
2013-06-28,SMRT_old,5.6921,2.9033387863007674
2013-07-02,TESS,20.2267,9.938305138191847
2013-07-12,CCF,23.6584,10.989873874483221
2013-07-16,TAXA,16.3001,7.784399986267092
2013-07-16,FRG,12.7433,6.085899829864504
2013-07-16,IQNT,8.1243,2.941999912261963
2013-07-16,RVLT,47.15,23.03549177611745
2013-07-16,CTG,23.1465,11.652899742126465
2013-07-16,SHFL,22.81,9.329213802742652
2013-07-16,RPXC,18.3236,8.979126791984473
2013-07-18,STML,27.94,14.34000015258789
2013-07-19,APFC,33.74,15.4399995803833
2013-07-19,FIRE,59.8,29.886717299623335
2013-07-24,SOL,21.55,10.942578738135122
2013-07-24,SOL_old,21.55,10.942578738135122
2013-07-25,NP_old,31.4466,15.494491661115092
2013-07-26,RELYQ,11.1,5.699999809265137
2013-07-29,AMBI_old,13.78,7.131800211520963
2013-08-05,VPRT,55.72,26.700000762939453
2013-08-06,FTLFD,5.5,2.75
2013-08-08,PFPT,29.18,14.640510220298461
