date,vol60,median730,scale
2015-08-09,,,1.0
2015-08-16,,,1.0
2015-08-23,,,1.0
2015-08-30,,,1.0
2015-09-06,,,1.0
2015-09-13,,,1.0
2015-09-20,,,1.0
2015-09-27,,,1.0
2015-10-04,,,1.0
2015-10-11,0.1670012906531079,,1.0
2015-10-18,0.20036624531741173,,1.0
2015-10-25,0.27507635250203516,,1.0
2015-11-01,0.4996617691868345,,1.0
2015-11-08,0.5753256747548875,,1.0
2015-11-15,0.6677972046620743,,1.0
2015-11-22,0.6795725093700804,,1.0
2015-11-29,0.6847210609351023,,1.0
2015-12-06,0.6891517951320868,,1.0
2015-12-13,0.7235753719396949,,1.0
2015-12-20,0.7235403023605904,,1.0
2015-12-27,0.700434288218025,,1.0
2016-01-03,0.5565709831553085,,1.0
2016-01-10,0.4854874550332701,,1.0
2016-01-17,0.4950391783168012,,1.0
2016-01-24,0.5914857457726679,,1.0
2016-01-31,0.748477469930598,,1.0
2016-02-07,0.7217753316723217,,1.0
2016-02-14,0.7260586616058824,,1.0
2016-02-21,0.7357261317001254,,1.0
2016-02-28,0.7241162743427623,,1.0
2016-03-06,0.7246548196654641,,1.0
2016-03-13,0.7303014683347152,,1.0
2016-03-20,0.6689041021821512,,1.0
2016-03-27,0.48106755850000266,,1.0
2016-04-03,0.43304598934890054,,1.0
2016-04-10,0.42004196086282064,,1.0
2016-04-17,0.37350870458528806,,1.0
2016-04-24,0.3420113174751086,,1.0
2016-05-01,0.33913314547683365,,1.0
2016-05-08,0.31179853038565364,,1.0
2016-05-15,0.2925809604306528,,1.0
2016-05-22,0.2724201980634685,,1.0
2016-05-29,0.2811198706101996,,1.0
2016-06-05,0.28597200383175697,,1.0
2016-06-12,0.29980132854123304,,1.0
2016-06-19,0.4522744744866501,,1.0
2016-06-26,0.5297323290681875,,1.0
2016-07-03,0.54118205567302,,1.0
2016-07-10,0.5744336494981972,,1.0
2016-07-17,0.5739957857252574,,1.0
2016-07-24,0.5786893545993398,,1.0
2016-07-31,0.5831870378174656,,1.0
2016-08-07,0.6525373264461432,,1.0
2016-08-14,0.5909396300546804,,1.0
2016-08-21,0.47781217169108203,,1.0
2016-08-28,0.45639567726238556,,1.0
2016-09-04,0.41811763161933346,,1.0
2016-09-11,0.387088283317716,,1.0
2016-09-18,0.4364268121941848,,1.0
2016-09-25,0.4211988994885511,,1.0
2016-10-02,0.30468254016083884,,1.0
2016-10-09,0.2873904888279945,,1.0
2016-10-16,0.28410573420175367,,1.0
2016-10-23,0.2835795271567718,,1.0
2016-10-30,0.28935739408534655,,1.0
2016-11-06,0.30371911960304127,,1.0
2016-11-13,0.3066226740565685,,1.0
2016-11-20,0.22374120020262828,,1.0
2016-11-27,0.22160475712673927,,1.0
2016-12-04,0.22529641236217696,,1.0
2016-12-11,0.2702231046011032,,1.0
2016-12-18,0.2630629357328416,,1.0
2016-12-25,0.3023492643208559,,1.0
2017-01-01,0.3155440502101241,,1.0
2017-01-08,0.43805994614671767,,1.0
2017-01-15,0.5138641818999461,,1.0
2017-01-22,0.525423786161075,,1.0
2017-01-29,0.5234727662459908,,1.0
2017-02-05,0.5006302542936445,,1.0
2017-02-12,0.5079670206762839,,1.0
2017-02-19,0.5177702982760317,,1.0
2017-02-26,0.5006896853275684,,1.0
2017-03-05,0.47603465866940353,,1.0
2017-03-12,0.3541875404672456,,1.0
2017-03-19,0.5214333302130578,,1.0
2017-03-26,0.5680798717655945,,1.0
2017-04-02,1.382106819262378,,1.0
2017-04-09,1.4494302861679775,,1.0
2017-04-16,1.4462919255989883,,1.0
2017-04-23,1.4485927918321255,,1.0
2017-04-30,1.4620106287003827,,1.0
2017-05-07,1.524760796928539,,1.0
2017-05-14,1.5448314164884664,,1.0
2017-05-21,1.5347210493685657,,1.0
2017-05-28,1.6213445858911606,,1.0
