date,ticker,ret,gross_ret,type,cost,days_held
2010-03-09,CBKC,0.15787107307153359,0.1705791680030948,time_exit,74339.99734375,10
2010-03-09,CBK_old,0.1578529776095925,0.1705608739362714,time_exit,74340.08640625,10
2010-03-30,CBKC,-0.06216721105760581,-0.052531413915690606,time_exit,94920.7953125,10
2010-03-30,CBK_old,-0.06217949225723629,-0.052543821298954074,time_exit,94921.18640625,10
2010-04-16,AMED,0.08303506265134986,0.08303506265134963,time_exit,1016361.257867813,10
2010-04-30,CBKC,-0.1015679210947874,-0.09267341362361292,time_exit,251312.0196875,10
2010-04-30,CBK_old,-0.10157674400634786,-0.09268232388229147,time_exit,251312.98125,10
2010-05-05,BECN,0.029058541378676583,0.029058541378676583,time_exit,598272.3008322322,10
2010-05-06,NXGN,-0.09999999999999998,-0.09999999999999998,stop_loss,205454.65350815773,4
2010-05-06,SKS,-0.09999999999999998,-0.09999999999999998,stop_loss,246117.55368164726,4
2010-05-07,BCSI,-0.11229410029784015,-0.09999999999999998,stop_loss,1022121.0693967318,1
2010-05-20,JNY,-0.09999999999999998,-0.09999999999999998,stop_loss,188852.27882202948,9
2010-05-21,CBKC,-0.09999999999999998,-0.09999999999999998,stop_loss,170641.5233641909,10
2010-05-21,CBK_old,-0.09999999999999998,-0.09999999999999998,stop_loss,170641.5233641909,10
2010-05-21,COL,-0.12712005096039503,-0.11451459406376063,stop_loss,182888.52264870223,10
2010-05-21,ROLL,-0.045201374794749616,-0.045201374794749616,time_exit,194319.05531424598,10
2010-06-02,MFGLQ,-0.14743941708860597,-0.14743941708860608,stop_loss,415912.45542713185,7
2010-06-07,BNE_old,0.0030695725898477466,0.004399617255109511,time_exit,406398.1182114786,10
2010-06-07,SKS,-0.09999999999999998,-0.09999999999999998,stop_loss,121616.64983934823,2
2010-06-08,MFGLQ,-0.1076946899122313,-0.09999999999999998,stop_loss,118141.88841536685,3
2010-06-08,TLB,-0.10490462737320683,-0.10490462737320683,stop_loss,114860.16929271778,3
2010-06-23,CBKC,-0.08941582734618536,-0.08941582734618525,time_exit,79568.09414714486,10
2010-06-23,CBK_old,-0.08942866849501141,-0.08942866849501152,time_exit,79568.09414714486,10
2010-06-23,COL,0.04031007518298457,0.04031007518298435,time_exit,80124.51438593608,10
2010-06-23,GEN1,-0.018767636775679386,-0.016766471460384236,time_exit,79568.09414714486,10
2010-06-23,LWSN,0.017796189144703378,0.017796189144703378,time_exit,117515.95443270626,10
2010-06-23,PGTI,0.027873894200638016,0.027873894200638016,time_exit,11512.078828125,10
2010-06-23,ROLL,0.05922780213212442,0.05963951978958093,time_exit,95801.04980927141,10
2010-06-23,SKS,0.028535921868756642,0.028535921868756642,time_exit,77313.12791625412,10
