date,vol60,median504,scale
2011-04-08,,,1.0
2011-04-15,,,1.0
2011-04-21,,,1.0
2011-04-29,,,1.0
2011-05-06,,,1.0
2011-05-13,,,1.0
2011-05-20,,,1.0
2011-05-27,,,1.0
2011-06-03,,,1.0
2011-06-10,,,1.0
2011-06-17,,,1.0
2011-06-24,,,1.0
2011-07-01,0.053381380219941724,,1.0
2011-07-08,0.053706190977095926,,1.0
2011-07-15,0.05455684062468396,,1.0
2011-07-22,0.052945432761731026,,1.0
2011-07-29,0.05691625866835953,,1.0
2011-08-05,0.056217012015517785,,1.0
2011-08-12,0.06191474295890505,,1.0
2011-08-19,0.06113083847246383,,1.0
2011-08-26,0.05492461309165679,,1.0
2011-09-02,0.0549126633942207,,1.0
2011-09-09,0.05577876165119481,,1.0
2011-09-16,0.05593628651281442,,1.0
2011-09-23,0.0554193845389967,,1.0
2011-09-30,0.05242048338974507,,1.0
2011-10-07,0.05474277378949007,,1.0
2011-10-14,0.055665965125724935,,1.0
2011-10-21,0.05311773019358994,,1.0
2011-10-28,0.0652625955206296,,1.0
2011-11-04,0.06474971875842687,,1.0
2011-11-11,0.06787767329036276,,1.0
2011-11-18,0.06860968993731632,,1.0
2011-11-25,0.07025748220605782,,1.0
2011-12-02,0.07382618103827629,,1.0
2011-12-09,0.08891934554953178,,1.0
2011-12-16,0.0897632095437789,,1.0
2011-12-23,0.09307282399746762,,1.0
2011-12-30,0.09296172860374122,,1.0
2012-01-06,0.09206443646977591,,1.0
2012-01-13,0.09134745598086295,,1.0
2012-01-20,0.08998177477094267,,1.0
2012-01-27,0.08448108077842952,,1.0
2012-02-03,0.08014135725183687,,1.0
2012-02-10,0.07516647442219176,,1.0
2012-02-17,0.07443790402226293,,1.0
2012-02-24,0.07198861172935517,,1.0
2012-03-02,0.0480090652683165,,1.0
2012-03-09,0.0489348476396632,,1.0
2012-03-16,0.04688180931708505,,1.0
2012-03-23,0.03665667835333618,,1.0
2012-03-30,0.03613028026648636,,1.0
2012-04-05,0.03801510569816333,,1.0
2012-04-13,0.04165804535967111,,1.0
2012-04-20,0.04183676182990131,,1.0
2012-04-27,0.04295205023718674,,1.0
2012-05-04,0.04510783639604179,,1.0
2012-05-11,0.04551559981606929,,1.0
2012-05-18,0.04687449535731399,,1.0
2012-05-25,0.04751000592831373,,1.0
2012-06-01,0.04933347810522227,,1.0
2012-06-08,0.048293409888571705,,1.0
2012-06-15,0.04850798288939234,,1.0
2012-06-22,0.04767209410814673,,1.0
2012-06-29,0.04673718480380359,,1.0
2012-07-06,0.048747652762720174,,1.0
2012-07-13,0.04830859678537138,,1.0
2012-07-20,0.04786075025158743,,1.0
2012-07-27,0.049185078301250025,,1.0
2012-08-03,0.04968283024335868,,1.0
2012-08-10,0.04973812925969494,,1.0
2012-08-17,0.04748288827778065,,1.0
2012-08-24,0.04619227445782423,,1.0
2012-08-31,0.041779197300187094,,1.0
2012-09-07,0.04205423016817286,,1.0
2012-09-14,0.041751029462671986,,1.0
2012-09-21,0.04054154409346465,,1.0
2012-09-28,0.03756307174005724,,1.0
2012-10-05,0.03734509601364411,,1.0
2012-10-12,0.03844434149453601,,1.0
2012-10-19,0.039155168755817295,,1.0
2012-10-26,0.03351105767666172,,1.0
2012-11-02,0.033141482219200435,,1.0
2012-11-09,0.03560509588012557,,1.0
2012-11-16,0.036477368868160547,,1.0
2012-11-23,0.040177439710322706,,1.0
2012-11-30,0.04072847764760274,,1.0
2012-12-07,0.03978456572183019,,1.0
2012-12-14,0.03995592512054043,,1.0
2012-12-21,0.04139416856072763,,1.0
2012-12-28,0.041361774440250514,,1.0
2013-01-04,0.04526663017211796,,1.0
2013-01-11,0.042936893000786625,,1.0
2013-01-18,0.041554630042776125,,1.0
2013-01-25,0.041213609824658534,,1.0
2013-02-01,0.040918372469725295,,1.0
2013-02-08,0.03754514848153363,,1.0
2013-02-15,0.033853984925875893,,1.0
2013-02-22,0.03363651075757476,,1.0
2013-03-01,0.03611347488531782,,1.0
2013-03-08,0.037609412271521286,,1.0
2013-03-15,0.03638362319306627,,1.0
2013-03-22,0.03521978833211316,,1.0
2013-03-28,0.03423529011926114,,1.0
2013-04-05,0.029997757547660795,,1.0
2013-04-12,0.030693378684836233,,1.0
2013-04-19,0.03748485387883145,,1.0
2013-04-26,0.039175573279223476,,1.0
2013-05-03,0.041794120905189046,,1.0
2013-05-10,0.042488908394110694,,1.0
2013-05-17,0.042156789830765255,,1.0
2013-05-24,0.04089982987350659,,1.0
2013-05-31,0.03887859573823904,,1.0
2013-06-07,0.04156021870183231,,1.0
2013-06-14,0.04409992371563834,,1.0
2013-06-21,0.049004140975566435,,1.0
2013-06-28,0.05105514984968132,0.04708293438978098,0.9221975555532498
2013-07-05,0.05134724976661622,0.04708293438978098,0.9169514356422704
2013-07-12,0.05078959977895079,0.04708293438978098,0.9270192046146818
2013-07-19,0.04740160092862841,0.04708293438978098,0.9932773042976493
2013-07-26,0.04564307202449163,0.04690571199487333,1.0
2013-08-02,0.04564390989129488,0.04646472963081391,1.0
